index,sentence
65,تو معلم خوبی خواهی شد.
66,برداشت تحریف شدهای از تاریخ
67,او دوستان خود را لو داد.
68,پیام مرموز
69,جمعا بیست شاگرد آمدند.
70,او دربارهی گرد آوری تمبر و این جور چیزها برایمان صحبت کرد.
71,حرف شتابآمیز و نسنجیده
72,او با دزدان و آدمکشان محشور شد.
73,این مشروب خیلی قوی است.
74,پایین رفتن سریع جیوه در حرارت سنج
75,بعد از جراحی سه هفته در منزل استراحت کرد.
76,به مادهای اسید سولفوریک زدن
77,به جاسوسی پرداختن
78,پیشنهادهای ما طی جلسات متعدد جز به جز مورد بحث قرار گرفت.
79,تیرچههای باریک برای نگهداری بتههای گوجهفرنگی
80,بهانهی شما پذیرفتنی نیست.
81,به کمک هم سنگ را بلند کردند.
82,آیا شما نقشه دارید؟
83,روی پله ها سکندری خوردم.
84,چه موقع دوره ها شروع می شود؟
85,بزرگ یا کوچک؟
86,همسرت کجا کار می کند؟
87,تعداد کمی.
88,آیا کسی با من تماس گرفت؟
89,من کیف پولم را فراموش کرده ام.
90,می توانم یک پتو داشته باشم؟
91,آیا در این سمت است؟
92,چشمهایتان قرمز شده است.
93,حال بدی دارم.
94,من آن را تا ساعت پنج نیاز دارم.
95,آیا شما شهروند آلمان هستید؟
96,پایان نامه شما درباره چیست؟
97,حداکثر سرعت این قایق چقدر است؟
98,در آی تی کار می کنم.
99,سرفه کنید، لطفاً.
100,من کدو سبز ورقه ای می خواهم.
101,می توانید این ساعت را تعمیر کنید؟
102,کسب و کار خودم را دارم.
103,چه موقع کشتی به واشینگتن می رود؟
104,آماده هستی برویم خانه؟
105,چهارشنبه، اول ژانویه
106,هوا خیلی گرم است، نه؟
107,شما شماره را اشتباه گرفتهاید.
108,والدینت کجا زندگی می کنند؟
109,ساعت من نیاز به تنظیم دارد.
110,طولانی تر از دو کیلومتر است.
111,من از کار کردن در فضای باز لذت می برم.
112,آيا کمد قفل دار دارید؟
113,در اولین روز مدرسه ات موفق باشی.
114,خیلی طول می کشد.
115,آیا شماره تماس تاکسی را می دانید؟
116,امروز هوا خوب است.
117,این تور چقدر هزینه دارد؟
118,همه راحتی های مدرن را دارید؟
119,از راز نهفت کس خبردار نشد
120,آبجو که بشکهای فروخته میشود.
121,تلمبهی آب
122,او برادر خودش را لو داد.
123,او قادر نبود رفتار عجیب و غریب خود را توجیه کند.
124,او و کسانی که با او کار میکنند
125,تانکهای دشمن پیاده نظام مارا تارومار کرد.
126,اگر همهی وجوهمختص تسلیحات برای ساختن کتابخانه بهکار میرفت...
127,او برد خود را با برادرش نصف کرد.
128,از این که کتابهایش محبوبیت داشت به خود میبالید
129,تفاهم موجد صلح است.
130,خبرنگاران از بدی وضع جادهها اظهار تاسف کردند.
131,آنان خدا را حمد و نیایش کردند و به خدمت خلق پرداختند.
132,اندیشههای والا
133,جلوهی زیبا کلئوپاترا
134,بهای مورد توافق
135,رفت و آمد در رودخانه
136,برخی از افسران ناراضی دست به کودتا زدند.
137,محلیل سنک مثانه
138,بد قیافه
139,در بستر قرار گرفتن
140,ارهی دوسر
141,او قصد دارد یک خانه بخرد.
142,زیر پا گذاشتن انزجار انگیز حقوق بشر
143,او در درگاه توقف کرد تا تالار را برانداز کند.
144,حقیقتهای همیشگی
145,بشقابی که در آن خوراک میدهند
146,اشتباه عظیم
147,آوازی را بلند خواندن
148,سنگ پا
149,برجستگیهای کوچک روی میزی که رنگ شده است
150,با مته نمیتوانی سوراخ چهارگوش ایجاد کنی.
151,اولین نطق او
152,برگهای آفت زده و خال زده
153,رگهی قرمز در مرمر
154,الوار پلسازی
155,شرکت آذرپاد این هزینهها را نخواهد پذیرفت.
156,ثروتی که از خود باقی گذاشت
157,بخش آخر برنامه عبارت بود از یک رقص روستایی.
158,پشت برگ
159,تخیلات واهی ایام جوانی من
160,به اقدامات تنبیهی متوسل شدن
161,استفراغ او سبزرنگ بود.
162,حکمت سوفسطائی
163,پرتاب دوم او از حلقه رد شد.
164,فرآیندهای نامتعادل کننده
165,اندیشههای افلاطون مرا بسیار روشن کرد.
166,برنگری هنر ایتالیا
167,با تکان سر ما را مرخص کرد.
168,بیش از یک ساعت
169,ارادهی خود را به خواست خداوند تسلیم کرد.
170,رخپوش اکسیژنرسان خلبان جت
171,پوست لطیف کودک
172,آنچه که واقعا مرا آزار میدهد نمکناشناسی است.
173,برخی اصول اخلاقی در تمام ادوار و کشورها ارزشمند است.
174,بود و نبود
175,صدفهای درون پیچ
176,سروصدا سر درد مرا بدتر کرد.
177,او در انجام اوامر مافوق خود کوتاهی کرد.
178,تالار پر از دانشجو بود.
179,آهویی بر نوک تپه ظاهر شد.
180,این کشور با هیچ ابرقدرتی متحد نشده است.
181,پسر حالت چطوره؟
182,او را که دیدم از شرم مردم!
183,تروریستها به یک انبار اسلحه دستبرد زدند و...
184,تا دست به زخم او زدم دادش بلند شد.
185,آشپزی انگلیسی
186,پهنترین بخش رودخانه
187,تلفن را به خودت اختصاص نده! منهم میخواهم حرف بزنم!
188,این وسیله رسانگر پیامهای سری است.
189,خائن به تمام معنی، خبیثترین خائن
190,توی این اپیزود چی گفته شده؟
191,بحث آزاد که نمایشگر آزادی است...
192,ادعاهای او چیزی جز بهتان نبود.
193,ایکه مایوس از همه از سویی بهسوی عشق روکن
194,تنوع ادویهی زندگانی است.
195,شیر خیزیده
196,رومیها آبگذرهای فراوانی ساختند.
197,برخورد فرهنگها
198,او با بیصبری در امتداد اتاق گام برمیداشت.
199,دستجات مذهبی مختلف
200,جنگل پهناور
201,سبک شعری خود را نابتر کرد.
202,با انگشتان چسبناکت دست به لباسم نزن!
203,او میخواهد در دانشگاه ما ریاضیات بخواند.
204,جلو نیا بیماری من به تو سرایت میکند!
205,قیمتهای وحشتناک
206,جعبه آنقدر سنگین بود که حتی نتوانستم آنرا یک اینچ حرکت بدهم.
207,سردرد دارم و گوشم صدا میدهد.
208,ذخیره آب ما داشت ته میکشید.
209,زنجیره انتزاعی
210,خانهای که درختان انبوه آن را پنهان کرده بودند
211,قدری از خوراک را برای فردا کنار بگذار.
212,آرزوی تمام عمر من
213,ماهی خوارک
214,باد سلیمان
215,درد مبهم
216,انتخابات حزبی
217,اَطهر
218,بی خردی
219,طرحهای عجیب و غریب
220,نصایح مشفقانه
221,مجتهد
222,آنان امیدوارند که وجود زندگی فرا زمینی را به اثبات برسانند.
223,خامهی این شیر کاملا گرفته شده است.
224,آنان که از تندرستی برخوردارند نیازی به پزشک ندارند.
225,اصلاحات پارلمانی
226,پا صحبت کسی نشستن
227,با بلند کردن دست رای دادن
228,تسمیه تقلیدی
229,انگلیسی زبان مادری آنان است.
230,چاه روزی هزار بشکه نفت بیرون میداد.
231,پامال
232,سیارات دور خورشید سیر میکنند.
233,جیغ زد و کمک خواست.
234,خون حیوان را بکش و شکمش را خالی کن تا اینکه گوشت حرام نشود.
235,این نوع غذا برای مزاج مضر است.
236,این دختر دارد اسب سواری می کند.
237,او از پاسخ دادن خودداری کرد.
238,آموزش و پرورش را اشاعه دادن
239,مقاصد اهریمنی او بهموقع کشف شد.
240,مراتع
241,اگر سردت میشود یک پتوی دیگر هم بردار.
242,دیپلم قلابی
243,این دوچرخهی قراضه ارزش نگهداشتن را ندارد.
244,پیش از ترک خانه درها و پنجرهها را محکم چفت کنید.
245,رسمی که هنوز میان ما رواج دارد
246,عرفان و صوفیگری
247,تاسکباب گوشت گاو
248,مورد طعن و لعن قرار دادن
249,زنی جوان و محجوب
250,او ظاهر مستها را داشت.
251,دمپایی حمام و دستشویی
252,قامت ناساز
253,تکذیب کننده
254,بخش عمدهی آموزش روم بررسی شعرا بود.
255,مصمم
256,جزئیات فنی حقوقی
257,چرخ طیار
258,پیری، کهولت، کبر سن
259,آثار نویسندگان فوقالذکر
260,بدهیهای زیاد کشور
261,این امر، ارث پدر معنوی لینوکس یعنی یونیکس است.
262,آگاهی مرگ
263,بیمثال
264,تصریف پذیر
265,دستگاه نمایش اسلاید
266,اظهاریهای که واژههای آن با دقت انتخاب شدهاند
267,صادرات گندم اضافه برنیاز
268,ترشح بیش از حد بزاق بسته به علت آن شاید موقت یا مزمن باشد
269,حواس ما را به اکثر خطرها آگاه میکند.
270,پدرش خواهان عروسی فوری بود.
271,لوز هندی
272,صدای بچهاش را که شنید بیاختیار به درون خانهی مشتعل شتافت.
273,پیامد یک قرن صنعت چیزی جز زشتی گسترده نبود.
274,محتاج
275,او ارزشی برای حقوق انسانی قائل نیست.
276,آن را نکشید.
277,خشم کسی را دامن زدن
278,جعبه سوزن و قرقره
279,او همیشه خواب یک سفر طولانی در یک کشتی مجلل را میدید.
280,او نه تنها قدرت داشت بلکه دارای ثروت زیادی هم بود.
281,این جمله خیلی واضح است.
282,با کمال میل
283,او یک تکه نان را میبرد و چندین ساندویچ درست میکند.
284,با چکش میخ را به دیوار کوبیدم.
285,با من خوب تا نکردند.
286,خصوصیت مشخص کننده، ویژگی نمایانگر
287,با صداقتی آکنده از احساس صحبت میکرد.
288,با زیر دستان خود مهربان باش.
289,او نه تنها خوش قیافه است بلکه پولدار هم هست.
290,خضری یکی از همشاگردیهای قدیمی من است.
291,خبر مرگ پدرم مرا منگ کرد.
292,او گیسوی خود را دم اسبی بافته بود.
293,این کشتی با نیروی بخار حرکت میکند.
294,خلاقیت باور نکردنی فکر این نویسنده
295,خشت اول چون نهد معمار کج...
296,خدا روزیرسان است.
297,آواز و رقص موجب شد که وقت زود بگذرد.
298,با وجدانی آسوده
299,خدا نگهدار من است.
300,با سرعت در جاده میراندیم.
301,با تهمت نام نیک او را از بین بردند.
302,ای کاش بیشتر میکوشیدند!
303,با تقلب و دروغگویی خود را خفیف کرد.
304,خواندن را دوست ندارد.
305,خواهان دوست شدن با او
306,با چند کلمهی تشکر به نطق پاسخ داد.
307,خطر از داخل کشور نیست بلکه از خارج است.
308,با راهپیمایی وزن کم کردن
309,او همیشه دربارهی آنچه که میخواست لجاجت میکرد.
310,با همسایهی جدید خود مشکل داریم.
311,یخچال
312,این نقاشی یک صحنهی تکان دهنده از جنگ را نشان میدهد.
313,سینی و کاسه سماور
314,او مثل دهاتیها غذا میخورد.
315,خطرناک ترین حیوانات
316,خلوت کسی را به هم زدن
317,این ماشین با برق کار میکند.
318,خوراک خوشمزهای از برنج و جگر مرغ
319,خوب است در هوای آزاد شام بخوریم.
320,خودش را وقف خدمت به بشریت کرد.
321,با آنکه مورد توهین قرار گرفته بود از پاسخ دادن خودداری کرد.
322,او محرمانه معشوق مرد خود را ملاقات میکند.
323,او عادت داشت که انگشت خود را بمکد.
324,او همهی روز بدون وقفه کار کرد.
325,این باشگاه خاص مردان است.
326,آیندهی تاریک
327,با شتاب حساب شده
328,خبرنگاران با ولع او را همهجا دنبال میکردند.
329,این لباس برای مهمانی امشب مناسب نیست.
330,با دستکش یواش زدم به گوشش
331,با فشار شانه از میان جمعیت رد شدیم.
332,قرآن
333,اینقدر بیصبر نباش!
334,این نوع کاغذ زود پاره میشود.
335,این قرص خواب زود اثر میکند.
336,او نامهها را خواند و در نامهدانهای میزش قرار داد.
337,با وجود شباهت بسیار، این دو جانور واقعا از هم متمایزند.
338,خانهی قابل زندگی
339,محکوم به
340,این کتاب به قیمت بیست دلار تک فروشی میشود.
341,با اعتراف وجدان خود را سبک کردن
342,خطوط مداوم و دلپذیر در یک نقاشی
343,آینده در نظرش مبهم و حتی بیشکل جلوه میکرد.
344,اینجا خیلی سرده!
345,خبر دیر به آنها رسید.
346,او میخواست خانهای را که پارسال فروخته بود پس بخرد.
347,این رنگ زود خشک میشود.
348,با چهرهای بیحالت روی صندلی نشست.
349,خطوط دفاعی ما نفوذپذیر است.
350,خدا یگانه آرامبخش من است.
351,شاهنامه
352,خانهی کاخ مانند
353,خودداری از دادن جواب به مثابه رد پیشنهاد است.
354,مدفوعات
355,با چشمی نیک بین
356,او گلدان را برداشت و از هر سمت با کنجکاوی به آن نگریست.
357,خلیج فارس در جنوب ایران است.
358,باد شدید وجود دارد.
359,می توانید روی نقشه به من نشان دهید؟
360,تصویر مبهم است.
361,او فردی قابل اعتماد با حس شوخی خوب است.
362,مستقیم جلو.
363,آیا باید قطارم را عوض کنم؟
364,چطور کار می کند؟
365,چه موقع امتحانات شروع می شوند؟
366,لطفا مرا یک ساعت قبل از رسیدن بیدار کنید.
367,مراقب باش، خیابان ها بسیار لغزنده هستند.
368,ببخشید هیچی باقی نمانده.
369,ببخشید، می دانید اداره پست کجا است؟
370,این پرواز از چه گیتی ترک می کند؟
371,آیا کتی دارید که به این شلوار بیاید؟
372,لطفا جاده به مانیلا را به من نشان دهید.
373,این ماشین شبیه ماشین من است.
374,می توانید به من بگویید چه موقع به دانشگاه می رسیم؟
375,می توانم چیزهایی را که خریدم عوض کنم؟
376,باد ایستاد.
377,ورودی رایگان
378,هر چیزی، واقعا.
379,آن زبان سختی است.
380,از کمک کردن خوشحال می شوم.
381,به زودی می بینمت!
382,دوست داری بازنشسته شوی؟
383,چقدر هزینه دارد؟
384,آیا می توانید او را توصیف کنید؟
385,بپیچید چپ.
386,آیا هیچ قطعات یدکی دارید؟
387,چطور به بالکن برسم؟
388,تولدتان مبارک!
389,اردوگاه کجا است؟
390,لطفا به من کمک کنید.
391,مراقب باشید، درها در حال بسته شدن هستند.
392,در این یکی کمی پوسیدگی دارید.
393,لطفاً بنشینید.
394,آیا قبلا این را انجام داده ای؟
395,من لباس شب نیاز دارم.
396,من دارم به خانه میروم.
397,من فایل را روی میز شما می گذارم.
398,دوست دارید دوباره ملاقات کنید؟
399,کارگردان این فیلم چه کسی است؟
400,هیچ گشت و گذاری وجود دارد؟
401,منظور شما چیست؟
402,آیا همه خوب هستند؟
403,یک کپی از هر کدام از اینها می خواهم، لطفاً.
404,فکر می کنید این برای یک بچه چهار ساله مناسب است؟
405,بیا برویم رستوران.
406,میتوانم اینجا پارک کنم؟
407,آیا فکر می کنی من باید با او تماس بگیرم؟
408,پایم را می زند.
409,لطفاً این دندان را روکش کنید.
410,کارت وفاداری ما را دارید؟
411,باید منتظر شوم؟
412,چوب و کفش اسکی را می توانید اجاره کنید.
413,باید کیف هامان را در رختکن بگذاریم.
414,آن در طبقه اول است.
415,به نظرم خیلی عجیب است.
416,او بیسکوییت دوست دارد.
417,بلند تر صحبت کن، لطفا.
418,کجا می توانم دوش بگیرم؟
419,بار من شکسته است و بعضی چیزها گم شده است.
420,چه ساعتی پرواز ترک می کند؟
421,فیلم را دوست داشتی؟
422,ما دو مافین کرنبری می خوریم.
423,نمک و سرکه.
424,این شماره من است.
425,من تمام قلبم عاشق تو هستم.
426,ما امشب یک مهمانی خصوصی داریم.
427,آیا این نزدیکی اردوگاه وجود دارد؟
428,چه موقع ترک می کنیم؟
429,بله، من گیتار می نوازم.
430,مقداری شوینده نیاز دارم.
431,ما می خواهیم کمی دسر سفارش دهیم، لطفا.
432,من می خواهم یک لپ تاپ بخرم.
433,تقریباً دو سوم از جمعیت نیجریه در فقر مطلق زندگی میکردند
434,نشانی های ذخیره شده را حذف کن
435,غولِ نوپدید
436,و ناگهان، به انسان سرایت میکند
437,بسیاری از آنها باز شدهاند
438,همسایگانی که می گویند ما دردسر هستیم
439,روزی چهل پوند با مسافت نامحدود.
440,این را به من بده.
441,شورای عالی اطلاع رسانی
442,باشه باشه که دیگه نمیخندم
443,تهران بزرگترین و پرجمعیت ترین شهر ایران است
444,چه خمیردندان هایی دارید؟
445,با دکتر تماس بگیرید!
446,ما کارت اعتباری قبول می کنیم.
447,نرخ ماهانه چقدر است؟
448,ایستگاه قطار کجاست؟
449,او پای گریپ فروت با بستنی می خورد.
450,من باغبانی دوست دارم.
451,من فانوس نیاز دارم.
452,او شدیدا آسیب دیده است.
453,نقاط قوت و ضعف شما چیست؟
454,نزدیکترین سرویس خشکشویی کجاست؟
455,من با پدرم هستم.
456,من اینجا تنها هستم.
457,می توانید این شلوار را یک سانتی متر بلند کنید؟
458,چه ساعتی ترک می کنیم؟
459,می توانم این رقص را داشته باشم، لطفا؟
460,نام تان، لطفاً.
461,هیچ چیزی میخواهی بنوشی؟
462,چوب گردگیری نیاز دارم.
463,بسیار خوب!
464,می خواهم بلیط فصلی را تجدید کنم، لطفاً.
465,خانه دار هستم.
466,ارسال این با پست ثبت شده چقدر می شود؟
467,او اینجا نیست.
468,او آنها را دوست ندارد.
469,خط هوایی من لوفتانزا است.
470,من یک سطل و یک بیل می خواهم.
471,از هدیهات ممنونم.
472,دنبال خانه دو طبقه می گردم.
473,امکان تخفیف نقدی وجود دارد؟
474,او نزدیک بین است.
475,هیچ ظروف نقره ای با آن طرح دارید؟
476,از صحبت کردن با شما خوشحالم.
477,دلار آمریکا قبول می کنید؟
478,این عینک برای من خیلی ضعیف است.
479,او کلوپ های شبانه را دوست ندارد.
480,عصبی نباش.
481,واگادوگو پایتخت و بزرگترین شهر کشور بورکینافاسو
482,اگر تهيدست گردم امكان دارد دزدی كنم نام تو را بیحرمت نمايم
483,بلكه روزی مرا به من بده
484,من مسیحی هستم
485,که واقعاً باید اطمینان حاصل کنیم که در بیمارستان از آنها مراقبت میشود
486,بيشتر كتاب امثال توسط سليمان خردمندترين مرد جهان نوشته شد
487,مرا از دروغ گفتن حفظ كن و مرا نه تهيدست بگردان و نه ثروتمند
488,ملخها كه رهبری ندارند ولی در دستههای منظم حركت میكنند
489,داکار پایتخت و بزرگترین شهر کشور سنگال
490,گلوی پسر را می فشارد
491,آنهایی که در ایران هستند سوگوار مرگ او هستند
492,سیرالئون سابقهای طولانی در تجارت برده به کشورهای استعمار طلب دارد
493,انواع بافت پوست مو پارچه سنگ پوست پیر پوست حیوانات مودار
494,از جمله اولین هنرمندانی هستند که به نقاشیخط پرداختند
495,مريم گفت: اگر پرهيزگارى، من از تو به خداى رحمان پناه مىبرم
496,جمعیت دنیا هر سی و پنج سال دو برابر میشود.
497,بیا اختلافات خود را بروز ندهیم.
498,جینسنگ یک داروی مقوی خاور دور است.
499,پدرم همیشه قبل از شام شکر خدای را به جا میآورد.
500,رستم و پیروان سلحشور او
501,بخشی از ماترک شخص متوفی به طلبکاران او داده شد.
502,برعلیه کسی تبعیض قایل شدن
503,جای پدرم سر میز ناهارخوری
504,تفاوتهای آب و هوا که موجب بوجود آمدن گیاهان مختلف میشود.
505,تنبلی و آز باعث شکست او شد.
506,تند مزاجی یک خوانندهی درجه یک اپرا
507,رفع دلواپسی و دردسر کسی
508,توشهرسان ناوشکن
509,چهرهای که از وحشت بهحال دهان گشودگی باقیمانده است
510,او سالیان درازی را به خاطر داشت.
511,بمب ناپالم، بمب آتشزا
512,او در دو مسابقهی قایقرانی شرکت کرد.
513,تابع ناپیوسته
514,تخممرغ خراب
515,به سربازان فرمان داده شده بوده که حمله کنند.
516,روی دیوار دیگران ننویس.
517,جزیره مورد هجوم موشهای صحرایی قرار گرفت.
518,چندین نکتهی ضعف در استدلال او
519,سازمان برنامه
520,بشکه را به صورت منحنی درآوردن
521,جلو اسم آنهایی که آمدهاند یک نقطه بگذار.
522,به دل خودت مروت راه بده.
523,او در دام عشق افتاد.
524,تو مرا گول زدهای!
525,چهرهی چروکیدهی یک پیرمرد
526,زخم ناشی از رگ فراخی
527,برخی پرندگان کوچ میکنند.
528,او را به مدرسهی ویژه فرستادند تا سلیقه و رفتارش پیراسته شود.
529,او تصمیم گرفت عروسی را بهم بزند.
530,بیماریهای ناشی از رژیم غذایی
531,ثروت پدری را دو ساله به باد داد.
532,روی تالار تاقی ضربی زدن
533,پسرها با شادی پایکوبی میکردند.
534,تهدید نهانی
535,پس از قرائت قرآن شام خورد.
536,پیروی از عرف همیشه با پیروی از اخلاقیات یکی نیست.
537,تیراژ این روزنامه چقدر است؟
538,بند کفش
539,بیمار را از بیمارستان مرخص کردن
540,حداکثر برای سینفر جا هست.
541,چیستان پرسیدن
542,بوی خوش گل محمدی
543,رذالتی که از هر گونه نافرمانی و شورش هم بدتر بود.
544,چشمانش غمزده و چهرهاش رنگ پریده بود.
545,چاقوی اره لب
546,جدا شدگی شبکیه
547,بوی مطبوع قهوه به داخل سرایت کرد.
548,زمین خوار
549,چک بی محل
550,پیچ را سفت کن تا بنزین خارج نشود.
551,ریز دانهی شکلات
552,پند سازنده
553,رفت و آمد مدیران توسط هواپیما انجام میشد.
554,تویی توپ فوتبال
555,بوف کور
556,رها شدن گاز از سیلندر
557,تا آخر کار دلگرم و مصمم بود.
558,جلسهی کمیته ساعت چهار خاتمه یافت.
559,تسعیر کردن دلار به ریال
560,پاکت خودچسب
561,چرچیل مصمم بود امریکا را هم به جنگ جهانی دوم بکشاند.
562,حسن است؟
563,تلمبه ویژه رطوبت پارچه را میکشد.
564,جامههای بنجل
565,بند کشی
566,تحت تاثیر چندین جرعه
567,"حرف ""T"" در واژهی ""cattail"" مضاعف شده است."
568,برخی از گیاهان خوب ریشه میدوانند.
569,به خاطر دگرگونی جو سیاسی
570,چشمان لوچ
571,بیاعتنایی آن دختر توی ذوق پسرها میزد.
572,دوندهی ما ده متر از رقیب خود جلو بود.
573,پدرش آدم خیلی گندی است.
574,جوان بودم و آمادگی پرداختن به عشق و ازدواج را نداشتم.
575,پس از بیماری او فقط سایهای از شکل سابقش بود.
576,بد مخمصهای نیست!
577,پیر مرد بر عصای خود تکیه داد.
578,تخلف شدید
579,جندهبازی و قمار
580,او خودش را حلق آویز کرد.
581,به من رحم کنید; من کور و کرم.
582,دیرپایی سیاسی
583,تحت تاثیر مد قرار گرفتن
584,پاسخ صحیح
585,سرتاپا مجهز
586,خانهی خود را برای تابستان کرایه دادم.
587,بمب اتمی میتواند شهری را نابود کند.
588,عقیدهٔ او با عقیدهٔ من اختلاف دارد.
589,مسمومیت در اثر مرفین
590,تا سن بیست سالگی استعدادهای او خفته بودد و سپس ناگهان شکوفا شدد.
591,محفل سیاسی
592,او از ابتدا با این دولت خصومت داشته است.
593,شعر او بسیار بد است.
594,لباس مخصوص کار
595,متعصب
596,بعدا توجه خود را به موسیقی معطوف کرد.
597,تابش نور به داخل
598,مدح کردن
599,محبوس خانه
600,مدهوش
601,از مردم مالیات سنگینی گرفته میشد.
602,انبار هیزم
603,خود و زندگی خود را با هیچ کس از نزدیکان مقایسه نکنید.
604,متصدی
605,مته ضربه ای درحفاری
606,پوچی اتهاماتی که او مطرح کرده بود بزودی آشکار شد.
607,زوایای متقابل برأس
608,مدرسهُ مختلط
609,زندانبان شلاق زدن را به اجرا درآورد.
610,بشنو از نی چون حکایت میکند
611,چریکها تحت فرماندهی تیتو بودند.
612,انسان حیوان آزمندی است.
613,ادعایی را بر مبنای شواهد و مدارک پراکنده تدوین کردن
614,نظام اجتماعی مردم کهنه
615,خانهی نو را لوله کشی کردن
616,او شاگرد خوبی است ولی در ورزش است که واقعا میدرخشد.
617,راه پرگرد و خاک
618,تیم ما پنج مسابقهی متوالی را باخت.
619,جلسه به جمعه افتاده بود.
620,او به طور متوسط شبی شش ساعت میخوابد.
621,او همیشه دربارهی کاری که باید انجام داده میشد غرولند میکرد.
622,محصولات زراعتی
623,ریههای بیمار مردی که سالها سیگار میکشید
624,برای همهی عمرش
625,متفرع شدن
626,آن توهین قلبم را جریحهدار کرد.
627,اصالت محافظه کاری
628,اشعار عشقی ایرج میرزا
629,حمل با یک دست
630,روزی به آنها تلافی خواهم کرد!
631,سرودهای ترحیمی
632,امیرکبیر مرد بزرگی بود.
633,او مرتبا دربارهی بیعرضگی شوهرش حرف میزد.
634,او از مریدان شیخ بهایی بود.
635,اظهاری را با واقعیات مطابق کردن
636,به خاطر تصادف همه ماشینها را از راه فرعی عبور دادند.
637,صد کیلومتر در ساعت
638,انجمن شهر دستور تخریب این خانهها را صادر کرده است.
639,اینها نکاتی است که باید مورد بحث قرار گیرد.
640,پایگاه دریایی
641,این گرد را در آب حل کنید و بخورید.
642,متعاقب
643,زیبایی بیخدشه
644,پایبند آداب معاشرت
645,او برای کلیهی فعالیتهای بدن واژههای مودبانه به کار میبرد.
646,من در طول همهگیری کرونا مانند هر کس دیگری درگیر بودهام
647,متصادم شدن
648,از روی فضولی نامهای را که برای برادرش فرستاده شده بود خواند.
649,به طور تمام وقت کار کردن
650,مجلس داشتن
651,چه وثیقهای میتوانی بدهی؟
652,آمایش تازهای از قشون
653,با سادگی زندگی کردن
654,اشرف دنگی زد توسرم.
655,البته برای سفر به فرانسه گذرنامه لازم است.
656,ابزار سنگین ساختتر
657,اخیرا تلویزیون چیزهای خوبی را نشان میدهد.
658,آنها نرمهی گوش خود را سوراخ میکنند.
659,تهدیدهای او فقط ظاهری بود.
660,پلیس او را برای بازجویی نگهداشت.
661,او مرتبا گرامر انگلیسی را زیرپا میگذارد.
662,به طور هفتگی
663,پری زیر شلواریها و جورابها را به طور منظم دسته دسته کرد.
664,اعضا هیئت علمی دانشکدهی پزشکی نیز دعوت شده بودند.
665,پوستکلفت
666,جوراب
667,با نمک زدن گوشت را حفظ کردن
668,سازهی نهایی
669,او در نبرد برتری خود را نشان داد.
670,نام برد
