language,task,model,example_id,input,prediction,regex_scorer,human_label,judge_label
fa,least_associated_word,SmolLM2-1_7B-Instruct,722,"از بین کلمات ""خانه"", ""دوازده"", ""تخت"", ""درب"" و ""پنجره""، کدام کلمه کمترین ارتباط را با ""خانه"" دارد؟","""خانه"" در حقیقت در حلقه های زیر",0,0,
fa,last_letter,salamandra-2b-instruct,2612,"آخرین حرف کلمه ""ارتفاع"" را بنویسید",ustamata,0,0,
fa,word_before,Llama-3_2-3B-Instruct,2916,"در جمله ""جعبه آنقدر سنگین بود که حتی نتوانستم آنرا یک اینچ حرکت بدهم"" کدام کلمه درست قبل از ""حتی"" آمده است؟","در این جمله کلمه ""نتوانستم"" درست قبل از ""حتی"" آمده است.",0,0,
fa,ends_with_letter,Llama-3_2-3B-Instruct,20,"کلمه ای بنویسید که به حرف ""غ"" ختم شود",غذا,0,0,
fa,first_word,SmolLM2-360M-Instruct,2,"اولین کلمهٔ جملهٔ ""خلاصهای از این داستان را بنویسید"" چیست؟","اولین کلمهٔ جملهٔ ""خلاصهای ا",0,0,
fa,any_words_from_category_3_distractors,Llama-3_1-8B-Instruct,2095,"آیا لیست [""پدربزرگ"", ""ژاکت"", ""هاکی"", ""زرشکی"", ""قهوه‌ای""] شامل هیچ رنگ‌ها است؟ با «بله» یا «خیر» پاسخ دهید",inخیر,0,0,
fa,sentence_not_containing,EuroLLM-1_7B-Instruct,433,"یک جمله بنویس که شامل کلمه ""پروانه"" نباشد",شما یک دستیار مفید هستید. کوتاه و درست پاسخ دهی,1,0,
fa,sentence_not_containing,SmolLM2-360M-Instruct,1163,"یک جمله بدون استفاده از کلمه ""خط‌کش"" بنویس","یک جمله بدون استفاده از کلمه ""خ",1,0,
fa,any_words_from_category_5_distractors,salamandra-2b-instruct,817,"آیا هیچ یک از کلمات ""بیلیارد"", ""یوگا"", ""اسنوبورد"", ""کاپشن"" و ""آموزشگاه"" از نوع سازها هستند؟ با «بله» یا «خیر» پاسخ دهید.",ustamata,0,0,
fa,more_letters,Qwen2_5-3B-Instruct,2814,"از بین کلمات ""کولر"" و ""دریاچه"" کدام یک حروف بیشتری دارد؟",کولر,0,0,
fa,word_containing,ZharfaOpen-0309,55,کلمه‌ای بنویس با استفاده از حرف «ق»,قلم.,1,1,
fa,less_letters_length_diff_3plus,gemma-3-1b,2716,"از بین کلمات ""فروشگاه"" و ""گونه"" کدام یک حروف کمتری دارد؟","""فروشگاه""",0,0,
fa,any_words_from_category_3_distractors,Llama-3_1-8B-Instruct,474,"آیا هیچ یک از کلمات ""اقتصادی"", ""چشم"", ""تراز"", ""بیل"" و ""جلو"" از نوع ابزارها هستند؟ با «بله» یا «خیر» پاسخ دهید.","in ""بیل"" از نوع ابزارها است.",0,0,
fa,any_words_from_category_3_distractors,salamandra-2b-instruct,2025,"آیا لیست [""مردم"", ""زن"", ""زرد"", ""عرض"", ""همکاری""] شامل هیچ جامعه است؟ با «بله» یا «خیر» پاسخ دهید",ustamata,0,0,
fa,any_words_from_category,Llama-3_2-3B-Instruct,2856,"آیا لیست [""سرعت"", ""شال"", ""پر"", ""پیراهن"", ""ماما""] شامل هیچ مردم است؟ با «بله» یا «خیر» پاسخ دهید",(خیر),1,1,
fa,first_letter,SmolLM2-1_7B-Instruct,2138,"حرف اول کلمه ""خوشمزه"" را بنویسید",من با هر کلمه خوشمزه درست دارم,0,0,
fa,more_letters_length_diff_3plus,ZharfaOpen-0309,1136,"کدام کلمه حروف بیشتری دارد، ""مؤدبانه"" یا ""نقره""؟","کلمه ""نقره"" حروف بیشتری دارد.",0,0,
fa,most_associated_word,Qwen2_5-3B-Instruct,1337,"از بین کلمات ""پسر"", ""نازک"", ""همسر"", ""پدربزرگ"" و ""مادر"" کدام کلمه بیشترین ارتباط را با کلمه ""صفت‌های شکل و اندازه"" دارد؟",نازک,1,1,
fa,word_before,Qwen2_5-1_5B-Instruct,1454,"در جمله ""او در قتل شریک جرم بود""، کدام کلمه بلافاصله قبل از کلمه ""جرم"" آمده است؟","در جمله ""او در قتل شریک جرم بود""، کلمه ""در"" بلافاصله قبل از",0,0,
fa,first_letter,gemma-3-1b,2682,"حرف اول کلمه ""مکانیک"" را بنویسید",مکانیک,0,0,
fa,any_words_from_category_4_distractors,Llama-3_2-3B-Instruct,519,"آیا هیچ یک از کلمات ""پرنده"", ""تبعیض"", ""سه‌تار"", ""زرافه"" و ""تولید"" از نوع سازها هستند؟ با «بله» یا «خیر» پاسخ دهید.",(خیر),0,0,
fa,any_words_from_category_3_distractors,ZharfaOpen-0309,2245,"آیا لیست [""نی"", ""پادگان"", ""نقاش"", ""مغازه"", ""سطح""] شامل هیچ محل‌های کار است؟ با «بله» یا «خیر» پاسخ دهید",بله.,1,1,
fa,less_letters,salamandra-2b-instruct,331,"کدام کلمه حروف کمتری دارد، ""لگن"" یا ""زندگی""؟",ustamata,0,0,
fa,word_containing,gemma-3-4b,29,کلمه‌ای بنویس که شامل حرف «چ» باشد,چشم,1,1,
fa,ends_with_word,SmolLM2-1_7B-Instruct,1866,"جمله‌ای بنویسید که آخرین کلمه آن ""ویلچر"" باشد:",ویلچر است.,0,0,
fa,rhyming_word,Qwen2_5-1_5B-Instruct,1062,"کدام‌ یک با کلمه ""جوشکار"" هم قافیه است، ""فرهنگی"" یا ""برقکار"" ؟","""فرهنگی"" هم قافیه است.",0,0,
fa,more_letters,SmolLM2-1_7B-Instruct,1884,"کدام کلمه حروف بیشتری دارد، ""ماسه"" یا ""گوش""؟",ماسه و گوش همان کلمه حروف بیشتر,0,0,
fa,word_not_containing,EuroLLM-1_7B-Instruct,74,"کلمه‌ای بنویس که حرف «خ» را نداشته باشد:
","بینویس که حرف «خ» را نداشته باشد، که حرف «خ» را",0,0,
fa,word_before,EuroLLM-1_7B-Instruct,1300,"در جمله ""زبانهای خارجی بخشی از تحصیلات تربیتی را تشکیل میداد""، کدام کلمه بلافاصله قبل از کلمه ""را"" آمده است؟",شما یک دستیار مفید هستید. کوتاه و درست پاسخ دهی,0,0,
fa,all_words_from_category_1_distractors,Llama-3_2-3B-Instruct,1416,"آیا همه کلمات ""پنجره"", ""کوهستان"", ""کوه"", ""طبیعت"" و ""جنگل"" نشان‌دهنده جغرافیا هستند؟ به «بله» یا «خیر» پاسخ دهید.",(خیر),1,1,
fa,all_words_from_category_0_distractors,SmolLM2-1_7B-Instruct,282,"آیا همه کلمات ""دفتر"", ""پنجره"", ""اتاق"", ""میز"" و ""خانه"" از نوع خانه هستند؟ به «بله» یا «خیر» پاسخ دهید.",بله.,1,0,
fa,all_words_from_category_2_distractors,SmolLM2-1_7B-Instruct,2579,"آیا لیست [""پادگان"", ""خط"", ""نصف"", ""لبه"", ""مرغ""] فقط شامل فضا و کمیت است؟ به «بله» یا «خیر» پاسخ دهید.",بله.,0,0,
fa,more_letters,gemma-3-1b,2537,"از بین کلمات ""سمت"" و ""منحصراً"" کدام یک حروف بیشتری دارد؟","""منحصراً"" حروف بیشتری دارد.",0,1,
fa,ends_with_letter,Qwen2_5-3B-Instruct,43,"کلمه ای بنویسید که آخرین حرف آن ""ذ"" باشد",ذکر,0,1,
fa,word_not_containing,SmolLM2-360M-Instruct,54,"کلمه‌ای بنویس بدون استفاده از حرف «ف»:
",شما یک دستیار مفید هستید. کوتا,0,0,
fa,first_alphabetically_different_first_letter,SmolLM2-360M-Instruct,1233,"به ترتیب حروف الفبا، کدام کلمه اول می‌آید، ""ساردین"" یا ""پذیرایی""؟","به ترتیب حروف الفبا، کدام کلمه ا",0,0,
fa,any_words_from_category,salamandra-2b-instruct,111,"آیا هیچ یک از کلمات ""نیروگاه"", ""گچ"", ""پذیرایی"", ""دمپایی"" و ""برقکار"" از نوع حیوانات هستند؟ با «بله» یا «خیر» پاسخ دهید.",با «بله» یا «خیر» پاسخ,0,0,
fa,word_after,Llama-3_1-8B-Instruct,2008,"در جملهٔ «ثروتی که از خود باقی گذاشت»، کدام کلمه بلافاصله بعد از «ثروتی» می‌آید؟","in کلمه ""ثروتی"" بلافاصله بعد از ""که"" می‌آید.",0,0,
fa,ends_with_word,SmolLM2-360M-Instruct,2362,"جمله‌ای بنویسید که با ""فرهنگ"" تمام شود:","جمله‌ای بنویسید که با ""فرهنگ"" ت",0,0,
fa,less_letters_length_diff_1,ZharfaOpen-0309,2136,"از بین کلمات ""مالکیت"" و ""فرضاً"" کدام یک حروف کمتری دارد؟",مالکیت حروف کمتری دارد.,0,0,
fa,most_associated_word,EuroLLM-1_7B-Instruct,1961,"از بین کلمات ""پنج"", ""سه"", ""طبل"", ""هشت"" و ""نه"" کدام کلمه بیشترین ارتباط را با کلمه ""سازها"" دارد؟","از بین کلمات ""پنج"", ""سه"", ""طبل"", ""هشت"" و ""نه"" کدام",0,0,
fa,first_alphabetically_same_first_letter,gemma-3-1b,2843,"از کلمات ""لمسیدن"" و ""لباس""، کدام کلمه به ترتیب حروف الفبا اول می‌آید؟",لباس,1,1,
fa,smaller_number,Qwen2_5-3B-Instruct,2223,"از بین اعداد 810 و 529، عدد کوچکتر را بنویسید",529,1,1,
fa,ends_with_letter,salamandra-2b-instruct,2,"کلمه ای بنویسید که به حرف ""ا"" ختم شود",ustamata,0,0,
fa,word_containing,SmolLM2-1_7B-Instruct,19,کلمه‌ای بنویس که شامل حرف «ع» باشد,من با همین حرف «ع» باشم.,0,0,
fa,first_letter,SmolLM2-360M-Instruct,1125,"کلمه ""جدی"" با کدام حرف شروع می‌شود؟",یک دستیار مفید هستید. کوتاه و در,0,0,
fa,sentence_containing,SmolLM2-360M-Instruct,1356,"یک جمله با استفاده از کلمه ""خبرنگار"" بنویس","یک جمله با استفاده از کلمه ""خبرن",1,0,
fa,all_words_from_category_1_distractors,EuroLLM-1_7B-Instruct,1146,"آیا همه کلمات ""اجاق‌"", ""دولت"", ""کولر"", ""هود"" و ""ظرفشویی"" نشان‌دهنده لوازم خانگی هستند؟ به «بله» یا «خیر» پاسخ دهید.","آیا همه کلمات ""اجاق‌"", ""دولت"", ""کولر"", ""هود"" و ""ظرفشو",0,0,
fa,all_words_from_category_0_distractors,Llama-3_1-8B-Instruct,899,"آیا همه کلمات ""کفش"", ""جامه"", ""دامن"", ""لباس"" و ""مقنعه"" از نوع پوشاک هستند؟ به «بله» یا «خیر» پاسخ دهید.",in affirmative.,0,0,
fa,sentence_not_containing,gemma-3-1b,1361,"یک جمله بدون استفاده از کلمه ""گوجه"" بنویس",سبزیجات دودی است.,1,1,
fa,starts_with_letter,ZharfaOpen-0309,20,"کلمه ای بنویسید که با حرف ""غ"" شروع شود:",گربه,0,0,
fa,first_alphabetically_different_first_letter,Qwen2_5-1_5B-Instruct,1144,"به ترتیب حروف الفبا، کدام کلمه اول می‌آید، ""فیل"" یا ""صنعت""؟",فیل,0,0,
fa,first_letter,Llama-3_1-8B-Instruct,677,"حرف اول کلمه ""به"" چیست؟",in,0,0,
fa,first_word,SmolLM2-1_7B-Instruct,102,"اولین کلمهٔ جملهٔ ""کسب و کار خودم را دارم"" چیست؟","""کسب و کار خودم را دارم"" از دست",0,0,
fa,last_word,Llama-3_2-3B-Instruct,605,"آخرین کلمهٔ جملهٔ ""مته ضربه ای درحفاری"" چیست؟",(حفاری),0,1,
fa,last_letter,gemma-3-1b,283,"آخرین حرف کلمه ""انبردست"" چیست؟",د.,0,0,
fa,less_letters_length_diff_3plus,Llama-3_1-8B-Instruct,2943,"از بین کلمات ""زن"" و ""عنکبوت"" کدام یک حروف کمتری دارد؟","کلمه ""عنکبوت"" حروف کمتری دارد.",0,0,
fa,starts_with_word,EuroLLM-1_7B-Instruct,112,"جمله‌ای بنویسید که اولین کلمه آن ""پرسیدن"" باشد",شما یک دستیار مفید هستید. کوتاه و درست پاسخ دهی,0,0,
fa,starts_with_word,Llama-3_1-8B-Instruct,71,"جمله‌ای بنویسید که اولین کلمه آن ""هشت"" باشد","هشت سال پیش، زندگی من تغییر کرد.",1,1,
fa,first_alphabetically_far_first_letter,SmolLM2-360M-Instruct,58,"به ترتیب حروف الفبا، کدام یک از کلمات ""ژاکت"" و ""زیاد"" اول می‌آید؟","به ترتیب حروف الفبا، کدام یک از",0,0,
fa,ends_with_word,salamandra-2b-instruct,627,"جمله‌ای بنویسید که با کلمه ""بالغ"" تمام شود:",آن از طعق حذف صدا بي,0,0,
fa,ends_with_letter,Qwen2_5-1_5B-Instruct,84,"کلمه ای بنویسید که به ""ظ"" ختم شود",عجیب,0,0,
fa,sentence_containing,gemma-3-4b,908,"یک جمله بنویس که شامل کلمه ""موج‌سواری"" باشد",او در موج‌سواری مهارت داشت و با آرامش روی امواج دریا می‌رقصید.,1,1,
fa,rhyming_word_orthographically_similar,ZharfaOpen-0309,893,"کدام کلمه با کلمه ""حتماً"" هم قافیه است، ""نسبتاً"" یا ""سفید"" ؟","کلمه ""سفید"" با کلمه ""حتماً"" هم قا",0,0,
fa,last_word,Qwen2_5-1_5B-Instruct,1689,"در جملهٔ ""بوتسوانا""، آخرین کلمه چیست؟","آخرین کلمه در جملهٔ ""بوتسوانا"" یک ""ا"" است.",0,0,
fa,first_alphabetically_consecutive_first_letter,EuroLLM-1_7B-Instruct,2817,"از کلمات ""زانو"" و ""سرد""، کدام کلمه به ترتیب حروف الفبا اول می‌آید؟","از کلمات ""زانو"" و ""سرد""، کدام کلمه به ترتیب حروف الفبا اول",0,0,
fa,word_containing,EuroLLM-1_7B-Instruct,36,کلمه‌ای بنویس با استفاده از حرف «ب»,"بینویس (بالفارسية: بنویس) هي قبيلة عربية من قبائل العرب البائدة، وهم من",0,0,
fa,starts_with_letter,Llama-3_1-8B-Instruct,88,"کلمه ای بنویسید که با ""ق"" شروع شود:","کلمه ""قهرمان"" با حرف ""ق"" شروع می‌شود.",0,1,
fa,less_letters_length_diff_1,salamandra-2b-instruct,1100,"کدام کلمه کوتاه‌تر است، ""پیر"" یا ""تا""؟",با اصلاح آنها کيتاه‌,0,0,
fa,all_words_from_category_0_distractors,Qwen2_5-1_5B-Instruct,2237,"آیا لیست [""رودخانه"", ""غار"", ""قاره"", ""دریاچه"", ""جنگل""] فقط شامل جغرافیا است؟ به «بله» یا «خیر» پاسخ دهید.",خیر,0,0,
fa,all_words_from_category_1_distractors,salamandra-2b-instruct,490,"آیا همه کلمات ""همکاری"", ""بازار"", ""اقتصاد"", ""ارزش"" و ""رسوم"" از نوع جامعه هستند؟ به «بله» یا «خیر» پاسخ دهید.",ustamata,0,0,
fa,more_letters,ZharfaOpen-0309,989,"کدام کلمه طولانی‌تر است، ""قناد"" یا ""فرودگاه""؟","کلمه ""فرودگاه"" طولانی‌تر است.",0,1,
fa,ends_with_letter,SmolLM2-360M-Instruct,44,"کلمه ای بنویسید که آخرین حرف آن ""ر"" باشد",یک دستیار مفید هستید. کوتاه و در,0,0,
fa,less_letters,ZharfaOpen-0309,2427,"از بین کلمات ""پوست"" و ""همبستگی"" کدام یک حروف کمتری دارد؟","کلمه ""همبستگی"" حروف کمتری دارد.",0,0,
fa,most_associated_word,Llama-3_2-3B-Instruct,159,"از بین کلمات ""حلزون"", ""بانو"", ""پرنده"", ""خرچنگ"" و ""گوسفند""، کدام کلمه بیشترین ارتباط را با ""مردم"" دارد؟",(گوسفند),0,0,
fa,first_alphabetically_consecutive_first_letter,gemma-3-1b,2747,"از کلمات ""ضرر"" و ""طلا""، کدام کلمه به ترتیب حروف الفبا اول می‌آید؟",طلا,0,0,
fa,bigger_number,SmolLM2-360M-Instruct,1395,"از بین اعداد 571 و 984، کدام بزرگتر است؟",یک دستیار مفید هستید. کوتاه و در,0,0,
fa,last_word,ZharfaOpen-0309,128,"آخرین کلمهٔ جملهٔ ""از این که کتابهایش محبوبیت داشت به خود میبالید"" چیست؟","کلمهٔ آخر جمله ""از این که کتابها",0,0,
fa,all_words_from_category,ZharfaOpen-0309,1553,"آیا همه کلمات ""طلایی"", ""صورتی"", ""قهوه‌ای"", ""بنفش"" و ""سمت"" نشان‌دهنده رنگ‌ها هستند؟ به «بله» یا «خیر» پاسخ دهید.",بله.,0,0,
fa,any_words_from_category_5_distractors,EuroLLM-1_7B-Instruct,1373,"آیا هیچ یک از کلمات ""گلف"", ""پنل"", ""شکم"", ""معامله"" و ""شلوار"" نشان دهنده جغرافیا هستند؟ با «بله» یا «خیر» پاسخ دهید.","بیان:

هیچ یک از کلمات ""گلف"", ""پنل"", ""شکم"", """,0,0,
fa,any_words_from_category,Qwen2_5-3B-Instruct,2768,"آیا لیست [""انسان"", ""پشت"", ""قاضی"", ""خرید"", ""نیلی""] شامل هیچ بدن انسان است؟ با «بله» یا «خیر» پاسخ دهید",خیر,0,1,
fa,last_letter,gemma-3-4b,1767,"کلمه ""دندانپزشک"" به کدام حرف ختم می‌شود؟",ک - دندانپزشک,0,1,
fa,starts_with_word,Qwen2_5-3B-Instruct,142,"جمله‌ای بنویسید که با ""مثل"" شروع شود","مثل نهاده‌ها، انسان‌ها همچنین می‌توانند تغییر کنند.",1,1,
fa,any_words_from_category_5_distractors,gemma-3-1b,2376,"آیا لیست [""ثانیه"", ""شرکت"", ""ساردین"", ""دایی"", ""تولد""] شامل هیچ بلایای طبیعی است؟ با «بله» یا «خیر» پاسخ دهید",خیر,1,1,
fa,starts_with_word,gemma-3-1b,8,"جمله‌ای بنویسید که با کلمه ""هشت"" شروع شود",هشتاد و یک میلیون و سیصد هزار و یکصد هزار و یکصد هزار و یکصد هزار و یکصد هزار و یکصد هزار و یک,0,0,
fa,less_letters,Llama-3_1-8B-Instruct,2740,"از بین کلمات ""معده"" و ""جمعیت"" کدام یک حروف کمتری دارد؟","کلمه ""معده"" حروف کمتری دارد.",0,1,
fa,word_containing,EuroLLM-1_7B-Instruct,43,کلمه‌ای بنویس با استفاده از حرف «ذ»,بینویس با استفاده از حرف «ذ» یک دستیار مفید هستید,0,0,
fa,most_associated_word,Llama-3_1-8B-Instruct,2011,"از بین کلمات زیر، کلمه‌ای را که بیشترین ارتباط را با کلمه ""قیدهای احتمال"" دارد انتخاب کنید - ""به‌راحتی"", ""نزدیک"", ""  میان"", "" مقابل"", ""وسط""","in ""قیدهای احتمال"" کلمه ""میان"" بیشترین ارتباط را دارد.",0,0,
fa,first_alphabetically,SmolLM2-1_7B-Instruct,2306,"از کلمات ""ویژه"" و ""شورت""، کدام کلمه به ترتیب حروف الفبا اول می‌آید؟",کدام کلمه به ترتیب حروف الفبا اول م,0,0,
fa,last_letter,EuroLLM-1_7B-Instruct,2856,"آخرین حرف کلمه ""زندگی"" را بنویسید","آخرین حرف کلمه ""زندگی"" را بنویسید.

آخرین حرف",0,0,
fa,homophones,ZharfaOpen-0309,500,"از بین دو کلمه ""مداد"" و ""غذا""، کدام یک صدایش بیشتر شبیه ""قضا"" است؟","صدای ""مداد"" بیشتر شبیه ""قضا"" است.",0,0,
fa,smaller_number,Llama-3_2-3B-Instruct,2213,"از بین اعداد 306 و 374، عدد کوچکتر را بنویسید",306,1,1,
fa,first_alphabetically_different_first_letter,Llama-3_2-3B-Instruct,1985,"به ترتیب حروف الفبا، کدام کلمه اول می‌آید، ""لمسیدن"" یا ""پر""؟",(L),0,0,
fa,rhyming_word_orthographically_similar,Llama-3_1-8B-Instruct,1434,"کدام‌ یک با کلمه ""اداره"" هم قافیه است، ""پنجره"" یا ""پختن"" ؟","in ""اداره"" با ""پنجره"" هم قافیه است.",0,1,
fa,word_not_containing,Llama-3_2-3B-Instruct,46,"کلمه‌ای بنویس بدون استفاده از حرف «س»:
",تلفن,1,1,
fa,first_word,SmolLM2-360M-Instruct,1245,"در جملهٔ ""رسمی که هنوز میان ما رواج دارد""، اولین کلمه چیست؟","در جملهٔ ""رسمی که هنوز میان ما رو",0,0,
fa,first_alphabetically,salamandra-2b-instruct,1945,"به ترتیب حروف الفبا، کدام کلمه اول می‌آید، ""گلبهی"" یا ""جهت""؟",ustamata,0,0,
fa,more_letters_length_diff_1,Qwen2_5-1_5B-Instruct,336,"کدام کلمه طولانی‌تر است، ""اردیبهشت"" یا ""کیلومتر""؟","کلمه ""کیلومتر"" طولانی‌تر است.",0,0,
fa,sentence_containing,Llama-3_2-3B-Instruct,1439,"یک جمله با استفاده از کلمه ""جلو"" بنویس","او با توجه به اینکه او در حال کار بود، به‌جای جلوی کارش را می‌زد.",0,1,
fa,homophones,Llama-3_2-3B-Instruct,626,"از بین دو کلمه ""فنجان"" و ""معمور""، کدام یک صدایش بیشتر شبیه ""مامور"" است؟","کلمه ""معمور"" صدایش بیشتر شبیه ""مامور"" است.",0,1,
fa,smaller_number,Llama-3_1-8B-Instruct,51,"کدام عدد کوچکتر است، 721 یا 474؟",474 کوچکتر از 721 است.,0,1,
fa,all_words_from_category,EuroLLM-1_7B-Instruct,2087,"آیا لیست [""متمم"", ""اسم"", ""قید"", ""کراوات"", ""معلوم""] فقط شامل دسته‌های دستوری است؟ به «بله» یا «خیر» پاسخ دهید.","بیشتری آیا لیست [""متمم"", ""اسم"", ""قید"", ""کراوات"", """,0,0,
fa,word_containing,Qwen2_5-1_5B-Instruct,72,کلمه‌ای بنویس که حرف «ج» را داشته باشد,جشنواره,1,1,
fa,any_words_from_category_5_distractors,gemma-3-4b,2782,"آیا لیست [""کاهو"", ""قاضی"", ""خلیج"", ""فلفل"", ""خانوادگی""] شامل هیچ رنگ‌ها است؟ با «بله» یا «خیر» پاسخ دهید",خیر,1,1,
fa,first_alphabetically,gemma-3-1b,2568,"از کلمات ""بدهی"" و ""خرگوش""، کدام کلمه به ترتیب حروف الفبا اول می‌آید؟",خرگوش,0,0,
fa,starts_with_word,salamandra-2b-instruct,80,"جمله‌ای بنویسید که اولین کلمه آن ""داشتن"" باشد",ustamata,0,0,
fa,first_alphabetically_same_first_letter,Qwen2_5-3B-Instruct,518,"به ترتیب حروف الفبا، کدام یک از کلمات ""آموزشگاه"" و ""آهن"" اول می‌آید؟",آموزشگاه,1,1,
fa,bigger_number,ZharfaOpen-0309,1664,"از بین اعداد 592 و 653، کدام بزرگتر است؟",653 بزرگتر از 592 است.,0,1,
fa,first_alphabetically_far_first_letter,salamandra-2b-instruct,1214,"به ترتیب حروف الفبا، کدام کلمه اول می‌آید، ""خصوصی"" یا ""قنادی""؟",ustamata,0,0,
fa,more_letters_length_diff_3plus,gemma-3-1b,1847,"کدام کلمه حروف بیشتری دارد، ""رگ"" یا ""فرهنگی""؟","""فرهنگی""",1,1,
fa,most_associated_word,Qwen2_5-1_5B-Instruct,1863,"از بین کلمات ""روی"", ""خواهرزاده"", ""مثل"", ""با"" و ""درباره"" کدام کلمه بیشترین ارتباط را با کلمه ""خانواده"" دارد؟","کلمه ""خواهرزاده"" بیشترین ارتباط را با کلمه ""خانواده""",0,1,
fa,any_words_from_category_3_distractors,Llama-3_2-3B-Instruct,1321,"آیا هیچ یک از کلمات ""کارگر"", ""صندلی"", ""زیرپوش"", ""یخچال"" و ""ورودی"" نشان دهنده خانه هستند؟ با «بله» یا «خیر» پاسخ دهید.",(خیر),0,0,
fa,first_alphabetically_consecutive_first_letter,SmolLM2-1_7B-Instruct,1113,"به ترتیب حروف الفبا، کدام کلمه اول می‌آید، ""هاکی"" یا ""نشستن""؟",هاکی.,0,0,
fa,rhyming_word_orthographically_similar,SmolLM2-1_7B-Instruct,1442,"کدام‌ یک با کلمه ""پرنده"" هم قافیه است، ""فشرده"" یا ""درون"" ؟","کدام‌ یک با کلمه ""پرنده"" هم ق",0,0,
fa,sentence_not_containing,Llama-3_1-8B-Instruct,1553,"یک جمله بدون استفاده از کلمه ""ششم"" بنویس","در تقویم میلادی، ماه ژوئن ماهی است که در سال‌های غیرم磕بعه، بیست و یکمین ماه سال است و در",1,1,
fa,bigger_number,Qwen2_5-3B-Instruct,1377,"از بین اعداد 427 و 866، کدام بزرگتر است؟",866 بزرگتر از 427 است.,0,1,
fa,bigger_number,EuroLLM-1_7B-Instruct,567,"کدام عدد بزرگتر است، 538 یا 370؟",بین 538 و 370 عددی است. 370 عددی است.,0,0,
fa,sentence_containing,Llama-3_2-3B-Instruct,2628,"یک جمله بنویس که کلمه ""صاعقه"" را در بر داشته باشد",صاعقه در طول تاریخ به عنوان یک پدیده طبیعی وSymbol قدرت و قدرت الهی در بسیاری از cultures و دینیات مورد توجه قرار گرفته,1,1,
fa,word_before,gemma-3-4b,2724,"در جمله ""رفع دلواپسی و دردسر کسی"" کدام کلمه درست قبل از ""دردسر"" آمده است؟",دلواپسی,0,1,
fa,rhyming_word_orthographically_similar,Qwen2_5-1_5B-Instruct,2744,"از بین کلمات ""گاهی"" و ""تالاب""، کدام یک با ""ماهی"" هم قافیه است؟","""گاهی"" با ""ماهی"" هم قافیه است.",0,1,
fa,last_letter,Qwen2_5-3B-Instruct,1810,"کلمه ""متفاوت"" به کدام حرف ختم می‌شود؟",متفاوتی,0,0,
fa,first_alphabetically_different_first_letter,gemma-3-4b,2949,"از کلمات ""خاک"" و ""ناخن""، کدام کلمه به ترتیب حروف الفبا اول می‌آید؟","خاک، ناخن",0,0,
fa,any_words_from_category,gemma-3-4b,1017,"آیا هیچ یک از کلمات ""متر"", ""اعتبار"", ""‌لباسشویی"", ""متر"" و ""پسر"" نشان دهنده خانواده هستند؟ با «بله» یا «خیر» پاسخ دهید.",خیر,0,0,
fa,all_words_from_category_1_distractors,SmolLM2-1_7B-Instruct,97,"آیا همه کلمات ""ورودی"", ""دانشگاه"", ""خانه"", ""ساختمان"" و ""دفتر"" از نوع خانه هستند؟ به «بله» یا «خیر» پاسخ دهید.",بله.,0,1,
