language,model,input,prediction,regex_scorer,human_label,judge_Qwen_Qwen2_5_7B_Instruct,judge_google_gemma_2_2b_it,judge_microsoft_Phi_3_mini_4k_instruct,judge_meta_llama_Llama_3_1_8B_Instruct
fa,Qwen2_5-1_5B-Instruct,"در جمله ""او در قتل شریک جرم بود""، کدام کلمه بلافاصله قبل از کلمه ""جرم"" آمده است؟","در جمله ""او در قتل شریک جرم بود""، کلمه ""در"" بلافاصله قبل از",0,0,1,1,1,1
fa,gemma-3-1b,"حرف اول کلمه ""مکانیک"" را بنویسید",مکانیک,0,0,0,1,1,1
fa,Llama-3_2-3B-Instruct,"آیا هیچ یک از کلمات ""پرنده"", ""تبعیض"", ""سه‌تار"", ""زرافه"" و ""تولید"" از نوع سازها هستند؟ با «بله» یا «خیر» پاسخ دهید.",(خیر),0,0,1,1,0,0
fa,ZharfaOpen-0309,"آیا لیست [""نی"", ""پادگان"", ""نقاش"", ""مغازه"", ""سطح""] شامل هیچ محل‌های کار است؟ با «بله» یا «خیر» پاسخ دهید",بله.,1,1,1,0,0,0
fa,salamandra-2b-instruct,"کدام کلمه حروف کمتری دارد، ""لگن"" یا ""زندگی""؟",ustamata,0,0,0,0,0,0
fa,gemma-3-4b,کلمه‌ای بنویس که شامل حرف «چ» باشد,چشم,1,1,1,1,1,1
fa,SmolLM2-1_7B-Instruct,"جمله‌ای بنویسید که آخرین کلمه آن ""ویلچر"" باشد:",ویلچر است.,0,0,1,1,1,1
fa,Qwen2_5-1_5B-Instruct,"کدام‌ یک با کلمه ""جوشکار"" هم قافیه است، ""فرهنگی"" یا ""برقکار"" ؟","""فرهنگی"" هم قافیه است.",0,0,1,1,1,0
fa,SmolLM2-1_7B-Instruct,"کدام کلمه حروف بیشتری دارد، ""ماسه"" یا ""گوش""؟",ماسه و گوش همان کلمه حروف بیشتر,0,0,0,0,0,0
fa,EuroLLM-1_7B-Instruct,"کلمه‌ای بنویس که حرف «خ» را نداشته باشد:
",بینویس که حرف «خ» را نداشته باشد، که حرف «خ» را,0,0,0,0,1,0
fa,EuroLLM-1_7B-Instruct,"در جمله ""زبانهای خارجی بخشی از تحصیلات تربیتی را تشکیل میداد""، کدام کلمه بلافاصله قبل از کلمه ""را"" آمده است؟",شما یک دستیار مفید هستید. کوتاه و درست پاسخ دهی,0,0,0,1,0,0
fa,Llama-3_2-3B-Instruct,"آیا همه کلمات ""پنجره"", ""کوهستان"", ""کوه"", ""طبیعت"" و ""جنگل"" نشان‌دهنده جغرافیا هستند؟ به «بله» یا «خیر» پاسخ دهید.",(خیر),1,1,1,1,1,0
fa,SmolLM2-1_7B-Instruct,"آیا همه کلمات ""دفتر"", ""پنجره"", ""اتاق"", ""میز"" و ""خانه"" از نوع خانه هستند؟ به «بله» یا «خیر» پاسخ دهید.",بله.,1,0,1,0,1,0
fa,SmolLM2-1_7B-Instruct,"آیا لیست [""پادگان"", ""خط"", ""نصف"", ""لبه"", ""مرغ""] فقط شامل فضا و کمیت است؟ به «بله» یا «خیر» پاسخ دهید.",بله.,0,0,1,1,1,0
fa,gemma-3-1b,"از بین کلمات ""سمت"" و ""منحصراً"" کدام یک حروف بیشتری دارد؟","""منحصراً"" حروف بیشتری دارد.",0,1,1,1,1,0
fa,ALLaM-7B-Instruct-preview,کلمه ای بنویسید که به حرف «ذ» ختم شود,ذکر,0,0,1,1,1,1
fa,SmolLM2-360M-Instruct,"کلمه‌ای بنویس بدون استفاده از حرف «ف»:
",ذره,0,0,1,1,1,0
fa,SmolLM2-360M-Instruct,"به ترتیب حروف الفبا، کدام کلمه اول می‌آید، ""ساردین"" یا ""پذیرایی""؟",به ترتیب حروف الفبا، کدام کلمه ا,0,0,0,0,0,0
fa,salamandra-2b-instruct,"آیا هیچ یک از کلمات ""نیروگاه"", ""گچ"", ""پذیرایی"", ""دمپایی"" و ""برقکار"" از نوع حیوانات هستند؟ با «بله» یا «خیر» پاسخ دهید.",با «بله» یا «خیر» پاسخ,0,0,0,0,1,1
fa,Llama-3_1-8B-Instruct,در جملهٔ «ثروتی که از خود باقی گذاشت»، کدام کلمه بلافاصله بعد از «ثروتی» می‌آید؟,"in کلمه ""ثروتی"" بلافاصله بعد از ""که"" می‌آید.",0,0,0,0,1,0
fa,SmolLM2-360M-Instruct,"جمله‌ای بنویسید که با ""فرهنگ"" تمام شود:","جمله‌ای بنویسید که با ""فرهنگ"" ت",0,0,0,0,0,0
fa,ZharfaOpen-0309,"از بین کلمات ""مالکیت"" و ""فرضاً"" کدام یک حروف کمتری دارد؟",مالکیت حروف کمتری دارد.,0,0,0,1,1,0
fa,EuroLLM-1_7B-Instruct,"از بین کلمات ""پنج"", ""سه"", ""طبل"", ""هشت"" و ""نه"" کدام کلمه بیشترین ارتباط را با کلمه ""سازها"" دارد؟","از بین کلمات ""پنج"", ""سه"", ""طبل"", ""هشت"" و ""نه"" کدام",0,0,0,0,0,0
fa,gemma-3-1b,"از کلمات ""لمسیدن"" و ""لباس""، کدام کلمه به ترتیب حروف الفبا اول می‌آید؟",لباس,1,1,0,0,1,0
fa,Qwen2_5-3B-Instruct,از بین اعداد 810 و 529، عدد کوچکتر را بنویسید,529,1,1,1,1,1,0
fa,salamandra-2b-instruct,"کلمه ای بنویسید که به حرف ""ا"" ختم شود",ustamata,0,0,0,1,1,0
fa,SmolLM2-1_7B-Instruct,کلمه‌ای بنویس که شامل حرف «ع» باشد,من با همین حرف «ع» باشم.,0,0,1,0,1,1
fa,SmolLM2-360M-Instruct,"کلمه ""جدی"" با کدام حرف شروع می‌شود؟",یک دستیار مفید هستید. کوتاه و در,0,0,0,0,0,0
fa,SmolLM2-360M-Instruct,"یک جمله با استفاده از کلمه ""خبرنگار"" بنویس","یک جمله با استفاده از کلمه ""خبرن",1,0,0,0,0,0
fa,EuroLLM-1_7B-Instruct,"آیا همه کلمات ""اجاق‌"", ""دولت"", ""کولر"", ""هود"" و ""ظرفشویی"" نشان‌دهنده لوازم خانگی هستند؟ به «بله» یا «خیر» پاسخ دهید.","آیا همه کلمات ""اجاق‌"", ""دولت"", ""کولر"", ""هود"" و ""ظرفشو",0,0,0,0,1,0
fa,Llama-3_1-8B-Instruct,"آیا همه کلمات ""کفش"", ""جامه"", ""دامن"", ""لباس"" و ""مقنعه"" از نوع پوشاک هستند؟ به «بله» یا «خیر» پاسخ دهید.",in affirmative.,0,0,0,1,0,0
fa,gemma-3-1b,"یک جمله بدون استفاده از کلمه ""گوجه"" بنویس",سبزیجات دودی است.,1,1,1,1,1,0
fa,ZharfaOpen-0309,"کلمه ای بنویسید که با حرف ""غ"" شروع شود:",گربه,0,0,0,1,1,0
fa,Qwen2_5-1_5B-Instruct,"به ترتیب حروف الفبا، کدام کلمه اول می‌آید، ""فیل"" یا ""صنعت""؟",فیل,0,0,1,1,1,0
fa,Llama-3_1-8B-Instruct,"حرف اول کلمه ""به"" چیست؟",in,0,0,0,0,0,0
fa,SmolLM2-1_7B-Instruct,"اولین کلمهٔ جملهٔ ""کسب و کار خودم را دارم"" چیست؟","""کسب و کار خودم را دارم"" از دست",0,0,0,0,1,0
fa,Llama-3_2-3B-Instruct,"آخرین کلمهٔ جملهٔ ""مته ضربه ای درحفاری"" چیست؟",(حفاری),0,1,0,0,1,0
fa,gemma-3-1b,"آخرین حرف کلمه ""انبردست"" چیست؟",د.,0,0,1,1,0,1
fa,Llama-3_1-8B-Instruct,"از بین کلمات ""زن"" و ""عنکبوت"" کدام یک حروف کمتری دارد؟","کلمه ""عنکبوت"" حروف کمتری دارد.",0,0,0,1,1,0
fa,ALLaM-7B-Instruct-preview,"جمله‌ای بنویسید که با کلمه ""سیزده"" شروع شود",سیزده نفر در اینجا هستند.,0,1,1,0,1,1
fa,Llama-3_1-8B-Instruct,"جمله‌ای بنویسید که اولین کلمه آن ""هشت"" باشد",هشت سال پیش، زندگی من تغییر کرد.,1,1,1,0,1,1
fa,SmolLM2-360M-Instruct,"به ترتیب حروف الفبا، کدام یک از کلمات ""ژاکت"" و ""زیاد"" اول می‌آید؟",به ترتیب حروف الفبا، کدام یک از,0,0,0,0,0,0
fa,salamandra-2b-instruct,"جمله‌ای بنویسید که با کلمه ""بالغ"" تمام شود:",آن از طعق حذف صدا بي,0,0,0,0,0,0
fa,Qwen2_5-1_5B-Instruct,"کلمه ای بنویسید که به ""ظ"" ختم شود",عجیب,0,0,0,1,1,0
fa,gemma-3-4b,"یک جمله بنویس که شامل کلمه ""موج‌سواری"" باشد",او در موج‌سواری مهارت داشت و با آرامش روی امواج دریا می‌رقصید.,1,1,1,1,1,1
fa,ZharfaOpen-0309,"کدام کلمه با کلمه ""حتماً"" هم قافیه است، ""نسبتاً"" یا ""سفید"" ؟","کلمه ""سفید"" با کلمه ""حتماً"" هم قا",0,0,0,0,0,0
fa,Qwen2_5-1_5B-Instruct,"در جملهٔ ""بوتسوانا""، آخرین کلمه چیست؟","آخرین کلمه در جملهٔ ""بوتسوانا"" یک ""ا"" است.",0,0,0,1,1,1
fa,EuroLLM-1_7B-Instruct,"از کلمات ""زانو"" و ""سرد""، کدام کلمه به ترتیب حروف الفبا اول می‌آید؟","از کلمات ""زانو"" و ""سرد""، کدام کلمه به ترتیب حروف الفبا اول",0,0,0,0,1,0
fa,EuroLLM-1_7B-Instruct,کلمه‌ای بنویس با استفاده از حرف «ب»,بینویس (بالفارسية: بنویس) هي قبيلة عربية من قبائل العرب البائدة، وهم من,0,0,0,0,1,0
fa,Llama-3_1-8B-Instruct,"کلمه ای بنویسید که با ""ق"" شروع شود:","کلمه ""قهرمان"" با حرف ""ق"" شروع می‌شود.",0,1,1,1,1,1
fa,salamandra-2b-instruct,"کدام کلمه کوتاه‌تر است، ""پیر"" یا ""تا""؟",با اصلاح آنها کيتاه‌,0,0,0,0,0,0
fa,Qwen2_5-1_5B-Instruct,"آیا لیست [""رودخانه"", ""غار"", ""قاره"", ""دریاچه"", ""جنگل""] فقط شامل جغرافیا است؟ به «بله» یا «خیر» پاسخ دهید.",خیر,0,0,1,1,1,0
fa,salamandra-2b-instruct,"آیا همه کلمات ""همکاری"", ""بازار"", ""اقتصاد"", ""ارزش"" و ""رسوم"" از نوع جامعه هستند؟ به «بله» یا «خیر» پاسخ دهید.",ustamata,0,0,0,0,0,0
fa,ZharfaOpen-0309,"کدام کلمه طولانی‌تر است، ""قناد"" یا ""فرودگاه""؟","کلمه ""فرودگاه"" طولانی‌تر است.",0,1,1,1,1,0
fa,SmolLM2-360M-Instruct,"کلمه ای بنویسید که آخرین حرف آن ""ر"" باشد",یک دستیار مفید هستید. کوتاه و در,0,0,0,0,0,0
fa,ZharfaOpen-0309,"از بین کلمات ""پوست"" و ""همبستگی"" کدام یک حروف کمتری دارد؟","کلمه ""همبستگی"" حروف کمتری دارد.",0,0,0,1,1,0
fa,Llama-3_2-3B-Instruct,"از بین کلمات ""حلزون"", ""بانو"", ""پرنده"", ""خرچنگ"" و ""گوسفند""، کدام کلمه بیشترین ارتباط را با ""مردم"" دارد؟",(گوسفند),0,0,0,1,1,0
fa,ALLaM-7B-Instruct-preview,"به ترتیب حروف الفبا، کدام یک از کلمات ""ثروت"" و ""جمعیت"" اول می‌آید؟",ثروت.,0,0,1,1,1,0
fa,SmolLM2-360M-Instruct,از بین اعداد 571 و 984، کدام بزرگتر است؟,یک دستیار مفید هستید. کوتاه و در,0,0,0,0,0,0
fa,ZharfaOpen-0309,"آخرین کلمهٔ جملهٔ ""از این که کتابهایش محبوبیت داشت به خود میبالید"" چیست؟","کلمهٔ آخر جمله ""از این که کتابها",0,0,0,0,1,0
fa,ZharfaOpen-0309,"آیا همه کلمات ""طلایی"", ""صورتی"", ""قهوه‌ای"", ""بنفش"" و ""سمت"" نشان‌دهنده رنگ‌ها هستند؟ به «بله» یا «خیر» پاسخ دهید.",بله.,0,0,1,1,1,0
fa,EuroLLM-1_7B-Instruct,"آیا هیچ یک از کلمات ""گلف"", ""پنل"", ""شکم"", ""معامله"" و ""شلوار"" نشان دهنده جغرافیا هستند؟ با «بله» یا «خیر» پاسخ دهید.","بیان:

هیچ یک از کلمات ""گلف"", ""پنل"", ""شکم"", """,0,0,0,0,0,0
fa,Qwen2_5-3B-Instruct,"آیا لیست [""انسان"", ""پشت"", ""قاضی"", ""خرید"", ""نیلی""] شامل هیچ بدن انسان است؟ با «بله» یا «خیر» پاسخ دهید",خیر,0,1,1,1,0,0
fa,gemma-3-4b,"کلمه ""دندانپزشک"" به کدام حرف ختم می‌شود؟",ک - دندانپزشک,0,1,1,1,1,0
fa,Qwen2_5-3B-Instruct,"جمله‌ای بنویسید که با ""مثل"" شروع شود",مثل نهاده‌ها، انسان‌ها همچنین می‌توانند تغییر کنند.,1,1,1,1,1,1
fa,gemma-3-1b,"آیا لیست [""ثانیه"", ""شرکت"", ""ساردین"", ""دایی"", ""تولد""] شامل هیچ بلایای طبیعی است؟ با «بله» یا «خیر» پاسخ دهید",خیر,1,1,1,1,0,0
fa,gemma-3-1b,"جمله‌ای بنویسید که با کلمه ""هشت"" شروع شود",هشتاد و یک میلیون و سیصد هزار و یکصد هزار و یکصد هزار و یکصد هزار و یکصد هزار و یکصد هزار و یک,0,0,0,0,1,0
fa,Llama-3_1-8B-Instruct,"از بین کلمات ""معده"" و ""جمعیت"" کدام یک حروف کمتری دارد؟","کلمه ""معده"" حروف کمتری دارد.",0,1,1,1,1,0
fa,EuroLLM-1_7B-Instruct,کلمه‌ای بنویس با استفاده از حرف «ذ»,بینویس با استفاده از حرف «ذ» یک دستیار مفید هستید,0,0,0,0,1,0
fa,Llama-3_1-8B-Instruct,"از بین کلمات زیر، کلمه‌ای را که بیشترین ارتباط را با کلمه ""قیدهای احتمال"" دارد انتخاب کنید - ""به‌راحتی"", ""نزدیک"", ""  میان"", "" مقابل"", ""وسط""","in ""قیدهای احتمال"" کلمه ""میان"" بیشترین ارتباط را دارد.",0,0,1,1,1,1
fa,SmolLM2-1_7B-Instruct,"از کلمات ""ویژه"" و ""شورت""، کدام کلمه به ترتیب حروف الفبا اول می‌آید؟",کدام کلمه به ترتیب حروف الفبا اول م,0,0,0,0,0,0
fa,EuroLLM-1_7B-Instruct,"آخرین حرف کلمه ""زندگی"" را بنویسید","آخرین حرف کلمه ""زندگی"" را بنویسید.

آخرین حرف",0,0,0,1,1,0
fa,ZharfaOpen-0309,"از بین دو کلمه ""مداد"" و ""غذا""، کدام یک صدایش بیشتر شبیه ""قضا"" است؟","صدای ""مداد"" بیشتر شبیه ""قضا"" است.",0,0,0,1,1,0
fa,Llama-3_2-3B-Instruct,از بین اعداد 306 و 374، عدد کوچکتر را بنویسید,306,1,1,1,0,0,0
fa,Llama-3_2-3B-Instruct,"به ترتیب حروف الفبا، کدام کلمه اول می‌آید، ""لمسیدن"" یا ""پر""؟",(L),0,0,0,1,0,0
fa,Llama-3_1-8B-Instruct,"کدام‌ یک با کلمه ""اداره"" هم قافیه است، ""پنجره"" یا ""پختن"" ؟","in ""اداره"" با ""پنجره"" هم قافیه است.",0,1,0,1,1,0
fa,Llama-3_2-3B-Instruct,"کلمه‌ای بنویس بدون استفاده از حرف «س»:
",تلفن,1,1,0,1,1,0
fa,SmolLM2-360M-Instruct,"در جملهٔ ""رسمی که هنوز میان ما رواج دارد""، اولین کلمه چیست؟","در جملهٔ ""رسمی که هنوز میان ما رو",0,0,0,0,1,0
fa,salamandra-2b-instruct,"به ترتیب حروف الفبا، کدام کلمه اول می‌آید، ""گلبهی"" یا ""جهت""؟",ustamata,0,0,0,0,0,0
fa,Qwen2_5-1_5B-Instruct,"کدام کلمه طولانی‌تر است، ""اردیبهشت"" یا ""کیلومتر""؟","کلمه ""کیلومتر"" طولانی‌تر است.",0,0,1,0,1,0
fa,Llama-3_2-3B-Instruct,"یک جمله با استفاده از کلمه ""جلو"" بنویس",او با توجه به اینکه او در حال کار بود، به‌جای جلوی کارش را می‌زد.,0,1,0,1,1,0
fa,Llama-3_2-3B-Instruct,"از بین دو کلمه ""فنجان"" و ""معمور""، کدام یک صدایش بیشتر شبیه ""مامور"" است؟","کلمه ""معمور"" صدایش بیشتر شبیه ""مامور"" است.",0,1,1,1,1,1
fa,Llama-3_1-8B-Instruct,کدام عدد کوچکتر است، 721 یا 474؟,474 کوچکتر از 721 است.,0,1,1,1,1,1
fa,EuroLLM-1_7B-Instruct,"آیا لیست [""متمم"", ""اسم"", ""قید"", ""کراوات"", ""معلوم""] فقط شامل دسته‌های دستوری است؟ به «بله» یا «خیر» پاسخ دهید.","بیشتری آیا لیست [""متمم"", ""اسم"", ""قید"", ""کراوات"", """,0,0,0,0,0,0
fa,Qwen2_5-1_5B-Instruct,کلمه‌ای بنویس که حرف «ج» را داشته باشد,جشنواره,1,1,1,1,1,1
fa,gemma-3-4b,"آیا لیست [""کاهو"", ""قاضی"", ""خلیج"", ""فلفل"", ""خانوادگی""] شامل هیچ رنگ‌ها است؟ با «بله» یا «خیر» پاسخ دهید",خیر,1,1,1,1,0,0
fa,gemma-3-1b,"از کلمات ""بدهی"" و ""خرگوش""، کدام کلمه به ترتیب حروف الفبا اول می‌آید؟",خرگوش,0,0,0,0,1,0
fa,salamandra-2b-instruct,"جمله‌ای بنویسید که اولین کلمه آن ""داشتن"" باشد",ustamata,0,0,0,0,0,0
fa,Qwen2_5-3B-Instruct,"به ترتیب حروف الفبا، کدام یک از کلمات ""آموزشگاه"" و ""آهن"" اول می‌آید؟",آموزشگاه,1,1,1,1,1,0
fa,ZharfaOpen-0309,از بین اعداد 592 و 653، کدام بزرگتر است؟,653 بزرگتر از 592 است.,0,1,1,1,1,1
fa,salamandra-2b-instruct,"به ترتیب حروف الفبا، کدام کلمه اول می‌آید، ""خصوصی"" یا ""قنادی""؟",ustamata,0,0,0,0,0,0
fa,gemma-3-1b,"کدام کلمه حروف بیشتری دارد، ""رگ"" یا ""فرهنگی""؟","""فرهنگی""",1,1,0,1,1,0
fa,Qwen2_5-1_5B-Instruct,"از بین کلمات ""روی"", ""خواهرزاده"", ""مثل"", ""با"" و ""درباره"" کدام کلمه بیشترین ارتباط را با کلمه ""خانواده"" دارد؟","کلمه ""خواهرزاده"" بیشترین ارتباط را با کلمه ""خانواده""",0,1,1,1,1,1
fa,Llama-3_2-3B-Instruct,"آیا هیچ یک از کلمات ""کارگر"", ""صندلی"", ""زیرپوش"", ""یخچال"" و ""ورودی"" نشان دهنده خانه هستند؟ با «بله» یا «خیر» پاسخ دهید.",(خیر),0,0,1,1,1,0
fa,SmolLM2-1_7B-Instruct,"به ترتیب حروف الفبا، کدام کلمه اول می‌آید، ""هاکی"" یا ""نشستن""؟",هاکی.,0,0,0,1,1,0
fa,SmolLM2-1_7B-Instruct,"کدام‌ یک با کلمه ""پرنده"" هم قافیه است، ""فشرده"" یا ""درون"" ؟","کدام‌ یک با کلمه ""پرنده"" هم ق",0,0,0,0,0,0
fa,Llama-3_1-8B-Instruct,"یک جمله بدون استفاده از کلمه ""ششم"" بنویس",در تقویم میلادی، ماه ژوئن ماهی است که در سال‌های غیرم磕بعه، بیست و یکمین ماه سال است و در,1,1,0,0,0,0
fa,Qwen2_5-3B-Instruct,از بین اعداد 427 و 866، کدام بزرگتر است؟,866 بزرگتر از 427 است.,0,1,1,1,1,1
fa,EuroLLM-1_7B-Instruct,کدام عدد بزرگتر است، 538 یا 370؟,بین 538 و 370 عددی است. 370 عددی است.,0,0,0,0,1,0
fa,Llama-3_2-3B-Instruct,"یک جمله بنویس که کلمه ""صاعقه"" را در بر داشته باشد",صاعقه در طول تاریخ به عنوان یک پدیده طبیعی وSymbol قدرت و قدرت الهی در بسیاری از cultures و دینیات مورد توجه قرار گرفته,1,1,1,0,1,1
fa,gemma-3-4b,"در جمله ""رفع دلواپسی و دردسر کسی"" کدام کلمه درست قبل از ""دردسر"" آمده است؟",دلواپسی,0,1,1,1,1,1
fa,Qwen2_5-1_5B-Instruct,"از بین کلمات ""گاهی"" و ""تالاب""، کدام یک با ""ماهی"" هم قافیه است؟","""گاهی"" با ""ماهی"" هم قافیه است.",0,1,1,1,1,0
fa,Qwen2_5-3B-Instruct,"کلمه ""متفاوت"" به کدام حرف ختم می‌شود؟",متفاوتی,0,0,0,1,1,0
fa,gemma-3-4b,"از کلمات ""خاک"" و ""ناخن""، کدام کلمه به ترتیب حروف الفبا اول می‌آید؟",خاک، ناخن,0,0,0,1,1,0
fa,gemma-3-4b,"آیا هیچ یک از کلمات ""متر"", ""اعتبار"", ""‌لباسشویی"", ""متر"" و ""پسر"" نشان دهنده خانواده هستند؟ با «بله» یا «خیر» پاسخ دهید.",خیر,0,0,1,1,1,1
fa,SmolLM2-1_7B-Instruct,"آیا همه کلمات ""ورودی"", ""دانشگاه"", ""خانه"", ""ساختمان"" و ""دفتر"" از نوع خانه هستند؟ به «بله» یا «خیر» پاسخ دهید.",بله.,0,1,0,0,1,0
fa,gemma-3-1b,"در جمله ""بیمار را از بیمارستان مرخص کردن""،کدام کلمه درست بعد از کلمه ""بیمار"" آمده است؟",مرخص کردن.,0,0,1,1,1,1
fa,SmolLM2-1_7B-Instruct,"کدام کلمه کوتاه‌تر است، ""پژوهشگر"" یا ""جدی""؟","""پژوهشگر"" است.",0,0,0,1,1,0
fa,Llama-3_2-3B-Instruct,"آیا همه کلمات ""دندانپزشک"", ""افسر"", ""مدیر"", ""دوچرخه"" و ""جوشکار"" نشان‌دهنده مشاغل هستند؟ به «بله» یا «خیر» پاسخ دهید.",خیر,1,1,1,1,1,0
fa,SmolLM2-360M-Instruct,"جمله‌ای بنویسید که آخرین کلمه آن ""قید"" باشد:",جمله‌ای بنویسید که آخرین کلم,0,0,0,0,0,0
fa,gemma-3-1b,"کلمه ای بنویسید که با حرف ""ط"" شروع شود:",طبیعاً.,0,1,1,0,1,1
