language,task,model,example_id,input,prediction,regex_scorer,human_label
en,first_alphabetically_same_first_letter,Llama-3_1-8B-Instruct,1017,"In an alphabetical order, which word comes first, ""money"" or ""month""?","in alphabetical order, ""money"" comes before ""month"".",1,1
en,any_words_from_category_3_distractors,Qwen2_5-3B-Instruct,2176,"Does the list [""jeans"", ""sweater"", ""desk"", ""dog"", ""pig""] contain any items of clothing? Answer either ""yes"" or ""no"".",yes,1,1
en,sentence_not_containing,ZharfaOpen-0309,2445,"Write a sentence not containing the word ""badminton"":",I enjoy playing tennis on weekends.,1,1
en,first_alphabetically_far_first_letter,Qwen2_5-3B-Instruct,518,"In an alphabetical order, which of the words ""zoo"" and ""build"" comes first?","suggested in alphabetical order: ""build"", ""zoo"".",0,1
en,smaller_number,SmolLM2-1_7B-Instruct,2,"Which number is smaller, 487 or 110?",110 is smaller than 487.,1,1
en,first_alphabetically_consecutive_first_letter,gemma-3-4b,779,"In an alphabetical order, which of the words ""kilometer"" and ""jump"" comes first?",kilometer,0,0
en,first_letter,Llama-3_2-3B-Instruct,2460,"Write the first letter of the word ""office"":",O,1,1
en,last_letter,Qwen2_5-1_5B-Instruct,1884,"Which letter does the word ""single"" end with?",^,0,0
en,all_words_from_category_1_distractors,gemma-3-4b,2955,"Does the list [""dog"", ""fish"", ""chicken"", ""bed"", ""pig""] contain only animals? Answer either ""yes"" or ""no"".",no,1,1
en,last_word,salamandra-2b-instruct,604,"What is the last word of the sentence ""Don swatted the mosquito with the newspaper""?",ustamata,0,0
en,all_words_from_category,salamandra-2b-instruct,1034,"Do the words ""fish"", ""duck"", ""cow"", ""mouse"", and ""rabbit"" all represent animals? Answer either ""yes"" or ""no"".",ustamata,0,0
en,ends_with_letter,SmolLM2-1_7B-Instruct,3,"Write a word that ends with the letter ""c"":","The word that ends with the letter ""c"" is ""dance.""",0,0
en,first_alphabetically_different_first_letter,gemma-3-1b,1947,"In an alphabetical order, which word comes first, ""volleyball"" or ""below""?",volleyball,0,0
en,any_words_from_category_3_distractors,Qwen2_5-1_5B-Instruct,2534,"Does the list [""armchair"", ""shorts"", ""sweater"", ""desk"", ""tractor""] contain any furniture? Answer either ""yes"" or ""no"".",^ no,0,0
en,rhyming_word_orthographically_similar,Qwen2_5-3B-Instruct,470,"Which word rhymes with the word ""complete"", ""common"" or ""delete""?",succeed,0,0
en,any_words_from_category_3_distractors,gemma-3-4b,1003,"Do any of the words ""duck"", ""cat"", ""watermelon"", ""bed"", and ""chair"" represent animals? Answer either ""yes"" or ""no"".",yes,1,1
en,all_words_from_category_0_distractors,SmolLM2-1_7B-Instruct,128,"Are all the words ""bus"", ""van"", ""tractor"", ""car"", and ""train"" types of vehicles? Answer either ""yes"" or ""no"".",at,0,0
en,starts_with_word,gemma-3-4b,2025,"Write a sentence starting with ""saucers"":","Saucers shimmered beneath the moonlight, hinting at a silent arrival.",1,1
en,last_letter,Llama-3_1-8B-Instruct,421,"What is the last letter of the word ""there""?","in the word ""there"", the last letter is ""E"".",1,1
en,more_letters_length_diff_1,EuroLLM-1_7B-Instruct,1945,"Which word is longer, ""reading"" or ""lunchtime""?","""Lunchtime"" is longer than ""reading.""",1,1
en,last_letter,EuroLLM-1_7B-Instruct,418,"What is the last letter of the word ""alcohol""?","The last letter of the word ""alcohol"" is ""l"".",1,1
en,any_words_from_category_5_distractors,ZharfaOpen-0309,1293,"Do any of the words ""couch"", ""pear"", ""motorcycle"", ""sofa"", and ""cow"" represent items of clothing? Answer either ""yes"" or ""no"".",No.,1,1
en,first_letter,Qwen2_5-1_5B-Instruct,605,"What is the first letter of the word ""sauce""?","The first letter of the word ""sauce"" is S.",1,1
en,more_letters,Qwen2_5-3B-Instruct,1687,"Which word is longer, ""mix"" or ""roast""?","""Roast"" is longer than ""mix.""",1,1
en,all_words_from_category_0_distractors,gemma-3-1b,495,"Are all the words ""pants"", ""socks"", ""shorts"", ""jacket"", and ""coat"" types of clothing? Answer either ""yes"" or ""no"".",yes,1,1
en,first_word,salamandra-2b-instruct,2277,"Write the first word of the sentence ""This building got taller and taller"":",ustamata,0,0
en,rhyming_word,salamandra-2b-instruct,206,"Which word rhymes with the word ""fruit"", ""hidden"" or ""flute""?",ustamata,0,0
en,first_alphabetically_consecutive_first_letter,ZharfaOpen-0309,474,"In an alphabetical order, which of the words ""yogurt"" and ""zoo"" comes first?","In an alphabetical order, the word ""yogurt"" comes before the word ""zoo"".",1,1
en,any_words_from_category,ZharfaOpen-0309,443,"Are any of the words ""sofa"", ""tractor"", ""jacket"", ""shirt"", and ""rabbit"" types of fruit? Answer either ""yes"" or ""no"".",No.,1,1
en,any_words_from_category_5_distractors,SmolLM2-1_7B-Instruct,1810,"Do any of the words ""cow"", ""jacket"", ""bed"", ""dog"", and ""chicken"" represent fruit? Answer either ""yes"" or ""no"".",at,0,0
en,less_letters_length_diff_3plus,SmolLM2-360M-Instruct,1836,"Which word is shorter, ""snack"" or ""discount""?","""Snack"" is shorter than ""discount.""",1,1
en,all_words_from_category,Llama-3_1-8B-Instruct,980,"Are all the words ""pineapple"", ""strawberry"", ""watermelon"", ""banana"", and ""apple"" types of fruit? Answer either ""yes"" or ""no"".","in the list, all the words are types of fruit: yes",0,1
en,last_letter,gemma-3-1b,2073,"Write the last letter of the word ""possibly"":",s,0,0
en,any_words_from_category_5_distractors,Llama-3_2-3B-Instruct,1245,"Do any of the words ""motorcycle"", ""train"", ""pants"", ""pig"", and ""bookcase"" represent fruit? Answer either ""yes"" or ""no"".",(no),1,1
en,more_letters_length_diff_1,Llama-3_2-3B-Instruct,1146,"Which word is longer, ""speak"" or ""square""?","The word ""square"" is longer. It has 6 letters, while ""speak"" has 5 letters.",1,1
en,all_words_from_category_1_distractors,SmolLM2-1_7B-Instruct,1361,"Do the words ""car"", ""van"", ""bus"", ""chair"", and ""train"" all represent vehicles? Answer either ""yes"" or ""no"".",at,0,0
en,last_letter,SmolLM2-1_7B-Instruct,1863,"Which letter does the word ""receptionist"" end with?","The letter ""t"".",1,1
en,least_associated_word,ZharfaOpen-0309,1439,"What is the word least related to the word ""fruit"" from the words ""watermelon"", ""pineapple"", ""melon"", ""strawberry"", and ""skirt""?","The word least related to the word ""fruit"" from the words ""watermelon"", ""pineapple"", ""melon"", ""strawberry",0,0
en,first_alphabetically_far_first_letter,salamandra-2b-instruct,2901,"Of the words ""earring"" and ""seat"", which word comes first alphabetically?","ustamata,0123456789t",0,0
en,word_before,gemma-3-1b,2950,"Which word comes right before ""included"" in the sentence ""John included his name in the list""?",Name,0,0
en,first_word,EuroLLM-1_7B-Instruct,1915,"In the sentence ""I wonder to whom they dedicated the building"", what is the first word?","The first word in the sentence ""I wonder to whom they dedicated the building"" is ""I"".",1,1
en,word_not_containing,EuroLLM-1_7B-Instruct,1,"Write a word that doesn't contain the letter ""a"":",Amazing,0,0
en,ends_with_word,Llama-3_2-3B-Instruct,2141,"Write a sentence ending with ""counting"":",(Emergency responders were busy counting the number of people trapped in the rubble.),0,0
en,word_before,ZharfaOpen-0309,1939,"In the sentence ""John took Bill to be a fool"", which word immediately precedes the word ""to""?","The word immediately preceding the word ""to"" in the sentence ""John took Bill to be a fool"" is ""to"".",0,0
en,first_alphabetically_far_first_letter,Llama-3_1-8B-Instruct,677,"In an alphabetical order, which of the words ""wild"" and ""finally"" comes first?","in alphabetical order, ""finally"" comes before ""wild"".",1,1
en,first_letter,ZharfaOpen-0309,2665,"Write the first letter of the word ""top"":",T,1,1
en,starts_with_word,EuroLLM-1_7B-Instruct,496,"Write a sentence that starts with the word ""oranges"":","Oranges are a popular fruit that can be enjoyed in various ways, such as fresh, juiced, or as a snack.",1,1
en,rhyming_word,gemma-3-4b,759,"Which word rhymes with the word ""better"", ""sweater"" or ""little""?",Better,0,0
en,last_letter,Qwen2_5-3B-Instruct,818,"What is the last letter of the word ""small""?","The last letter of the word ""small"" is ""n"".",0,0
en,starts_with_word,Qwen2_5-3B-Instruct,1767,"Write a sentence whose first word is ""arts"":","sights and sounds, arts bring communities together.",0,0
en,bigger_number,SmolLM2-1_7B-Instruct,2383,"From the numbers 511 and 444, write the bigger number:",The bigger number is 511.,1,1
en,all_words_from_category_1_distractors,Llama-3_1-8B-Instruct,908,"Are all the words ""rabbit"", ""tractor"", ""fish"", ""dog"", and ""mouse"" types of animals? Answer either ""yes"" or ""no"".","in the list, all the words are types of animals: ""rabbit"", ""dog"", and ""mouse"" are mammals, and ""fish"" is an aquatic",0,0
en,first_word,ZharfaOpen-0309,897,"What is the first word of the sentence ""The boy in the doorway waved to his father""?","The first word of the sentence ""The boy in the doorway waved to his father"" is ""The"".",1,1
en,word_not_containing,Qwen2_5-3B-Instruct,27,"Write a word without using the letter ""a"":",silk,1,1
en,any_words_from_category_5_distractors,SmolLM2-360M-Instruct,618,"Are any of the words ""skirt"", ""bus"", ""shirt"", ""coat"", and ""socks"" types of fruit? Answer either ""yes"" or ""no"".",.,0,0
en,sentence_containing,ZharfaOpen-0309,1353,"Write a sentence using the word ""appointment"":",I have an appointment tomorrow at 10 am.,1,1
en,all_words_from_category_0_distractors,SmolLM2-360M-Instruct,2735,"Does the list [""cow"", ""fish"", ""goat"", ""duck"", ""mouse""] contain only animals? Answer either ""yes"" or ""no"".",.,0,0
en,any_words_from_category,Llama-3_1-8B-Instruct,2604,"Does the list [""shorts"", ""van"", ""shirt"", ""melon"", ""armchair""] contain any animals? Answer either ""yes"" or ""no"".","in the list [""shorts"", ""van"", ""shirt"", ""melon"", ""armchair""] there are no animals.",0,1
en,sentence_not_containing,Qwen2_5-1_5B-Instruct,382,"Write a sentence that doesn't contain the word ""butter"":",The cat pounced on the mouse with surprising speed.,1,1
en,rhyming_word_orthographically_similar,ZharfaOpen-0309,2271,"Of the words ""race"" and ""pork"", which one rhymes with ""face""?","The word ""race"" rhymes with the word ""face"".",1,1
en,least_associated_word,ZharfaOpen-0309,1144,"What is the word least related to the word ""fruit"" from the words ""watermelon"", ""mouse"", ""melon"", ""pear"", and ""apple""?","The word least related to the word ""fruit"" from the words ""watermelon"", ""mouse"", ""melon"", ""pear"", and """,0,0
en,starts_with_word,SmolLM2-1_7B-Instruct,165,"Write a sentence that starts with the word ""legs"":",The cat stretched its legs and yawned.,0,0
en,most_associated_word,SmolLM2-1_7B-Instruct,2827,"Of the following words, choose the word most commonly associated with the word ""animals"" - ""armchair"", ""chair"", ""table"", ""bookcase"", ""mouse"":",at,0,0
en,word_before,SmolLM2-360M-Instruct,119,"In the sentence ""We abandoned the area"", which word comes right before the word ""the""?",.,0,0
en,any_words_from_category,EuroLLM-1_7B-Instruct,1125,"Do any of the words ""goat"", ""tram"", ""peach"", ""tractor"", and ""truck"" represent items of clothing? Answer either ""yes"" or ""no"".","Yes, ""tram"" and ""truck"" represent items of clothing.",0,0
en,homophones,EuroLLM-1_7B-Instruct,1909,"Which is a homophone of the word ""duel"", ""dual"" or ""battle""?","The word ""duel"" is a homophone of the word ""dual"".",1,1
en,rhyming_word_orthographically_different,SmolLM2-360M-Instruct,861,"Which word rhymes with the word ""west"", ""last"" or ""depressed""?",.,0,0
en,more_letters_length_diff_1,ZharfaOpen-0309,567,"Which word has more letters, ""luck"" or ""young""?","""luck"" has more letters than ""young"".",0,0
en,rhyming_word_orthographically_different,gemma-3-1b,1657,"Which is a rhyme of the word ""throat"", ""rat"" or ""note""?",“Rat” is a rhyme of “throat”.,0,0
en,rhyming_word,EuroLLM-1_7B-Instruct,919,"Which word rhymes with the word ""bay"", ""sea"" or ""pray""?","The word that rhymes with ""bay"", ""sea"" or ""pray"" is ""ray"".",0,0
en,word_before,salamandra-2b-instruct,2319,"Which word comes right before ""about"" in the sentence ""I talked to Winston about himself""?",ustamata,0,0
en,all_words_from_category,ZharfaOpen-0309,1761,"Do the words ""chair"", ""couch"", ""lemon"", ""sofa"", and ""table"" all represent furniture? Answer either ""yes"" or ""no"".",Yes.,0,0
en,first_alphabetically,EuroLLM-1_7B-Instruct,817,"In an alphabetical order, which of the words ""movie"" and ""painter"" comes first?","The word ""painter"" comes first in alphabetical order.",0,0
en,first_alphabetically,gemma-3-4b,2500,"Of the words ""curtain"" and ""homework"", which word comes first alphabetically?",Curtain,1,1
en,ends_with_word,gemma-3-1b,2929,"Write a sentence ending with ""caring"":",The veterinarian was a caring presence for the sick animal.,0,0
en,more_letters_length_diff_3plus,salamandra-2b-instruct,1638,"Which word is longer, ""love"" or ""instead""?",ustamata,0,0
en,first_alphabetically_consecutive_first_letter,gemma-3-1b,97,"In an alphabetical order, which of the words ""quickly"" and ""ride"" comes first?",“Quickly” comes first.,0,1
en,most_associated_word,Qwen2_5-3B-Instruct,101,"Of the words ""rabbit"", ""car"", ""tram"", ""tractor"", and ""van"", what is the word most commonly associated with ""animals""?","suggested answer: ""rabbit"" is the word most commonly associated with animals from the given list.

This is the most concise and correct answer based on the options",1,1
en,more_letters_length_diff_1,Qwen2_5-1_5B-Instruct,2197,"Of the words ""name"" and ""racket"" which one has more letters?","^ name has 4 letters, racket has 5 letters.",0,0
en,any_words_from_category_3_distractors,salamandra-2b-instruct,1332,"Do any of the words ""banana"", ""jeans"", ""watermelon"", ""desk"", and ""rabbit"" represent fruit? Answer either ""yes"" or ""no"".","Yes,                                        No",1,0
en,all_words_from_category_1_distractors,Qwen2_5-1_5B-Instruct,2853,"Does the list [""strawberry"", ""peach"", ""bed"", ""lemon"", ""melon""] contain only fruit? Answer either ""yes"" or ""no"".",Yes.,0,0
en,first_word,Llama-3_2-3B-Instruct,869,"What is the first word of the sentence ""The gardener grew that acorn into an oak tree""?","The first word of the sentence is ""The"".",1,1
en,bigger_number,Qwen2_5-1_5B-Instruct,2188,"From the numbers 284 and 760, write the bigger number:",The bigger number is 760.,1,1
en,less_letters,ZharfaOpen-0309,1100,"Which word is shorter, ""an"" or ""bad""?","The word ""an"" is shorter.",1,1
en,less_letters_length_diff_1,Llama-3_2-3B-Instruct,867,"Which word has fewer letters, ""most"" or ""by""?",(by) has fewer letters.,0,1
en,bigger_number,EuroLLM-1_7B-Instruct,331,"Which number is bigger, 114 or 775?",775 is bigger than 114.,1,1
en,word_not_containing,salamandra-2b-instruct,72,"Write a word not containing the letter ""t"":",Tree,0,0
en,first_word,SmolLM2-360M-Instruct,256,"What is the first word of the sentence ""I read him two statements about himself""?",.,0,0
en,bigger_number,Llama-3_1-8B-Instruct,1940,"Of the numbers 66 and 547, which is bigger?",547 is bigger than 66.,1,1
en,starts_with_letter,salamandra-2b-instruct,69,"Write a word starting with ""q"":",Quilt,1,1
en,more_letters_length_diff_3plus,salamandra-2b-instruct,2784,"Of the words ""bag"" and ""dinosaur"" which one has more letters?",ustamata,0,0
en,first_alphabetically_different_first_letter,SmolLM2-360M-Instruct,713,"In an alphabetical order, which of the words ""opposite"" and ""ice"" comes first?","""opposite"" comes first in an alphabetical order.",0,0
en,less_letters_length_diff_3plus,gemma-3-4b,653,"Which word has fewer letters, ""exit"" or ""computer""?",“Exit” has fewer letters.,0,1
en,most_associated_word,salamandra-2b-instruct,876,"Of the words ""mango"", ""cat"", ""fish"", ""pig"", and ""duck"", what is the word most commonly associated with ""fruit""?",ustamata,0,0
en,word_containing,EuroLLM-1_7B-Instruct,24,"Write a word that contains the letter ""x"":","The word that contains the letter ""x"" is ""xylophone"".",0,1
en,first_letter,Qwen2_5-3B-Instruct,1133,"Which letter does the word ""writing"" start with?",s,0,0
en,first_alphabetically_far_first_letter,SmolLM2-1_7B-Instruct,1633,"In an alphabetical order, which word comes first, ""other"" or ""bird""?","at the beginning of the alphabet, ""other"" comes before ""bird"".",0,0
en,first_alphabetically_same_first_letter,Qwen2_5-1_5B-Instruct,1512,"In an alphabetical order, which word comes first, ""know"" or ""king""?","^ The word ""know"" comes before ""king"" in alphabetical order.",0,0
en,last_word,SmolLM2-1_7B-Instruct,1383,"In the sentence ""He was a bully"", what is the last word?",at,0,0
en,all_words_from_category,EuroLLM-1_7B-Instruct,1285,"Do the words ""bus"", ""truck"", ""shorts"", ""tractor"", and ""car"" all represent vehicles? Answer either ""yes"" or ""no"".","Yes, the words ""bus"", ""truck"", ""shorts"", ""tractor"", and ""car"" all represent vehicles.",0,0
en,starts_with_letter,SmolLM2-360M-Instruct,33,"Write a word whose first letter is ""g"":",Goth,1,1
en,less_letters_length_diff_1,SmolLM2-360M-Instruct,2724,"Of the words ""no"" and ""lost"" which one has fewer letters?",.,0,0
en,more_letters_length_diff_1,Llama-3_1-8B-Instruct,2471,"Of the words ""subject"" and ""train"" which one has more letters?","in the word ""subject"" has 7 letters: s-u-b-j-e-c-t 
 in the word ""train"" has 5 letters: t-r",0,0
en,starts_with_letter,gemma-3-1b,54,"Write a word starting with ""b"":",Bee,1,1
en,all_words_from_category_1_distractors,Qwen2_5-3B-Instruct,2923,"Does the list [""duck"", ""pig"", ""melon"", ""fish"", ""cow""] contain only animals? Answer either ""yes"" or ""no"".","sow to be precise, ""pig"" is an animal, but ""melon"" is not. So, the answer is:

no",0,1
en,first_alphabetically_far_first_letter,Llama-3_2-3B-Instruct,159,"In an alphabetical order, which of the words ""reading"" and ""club"" comes first?",(reading) comes before (club) in alphabetical order.,0,0
en,less_letters,gemma-3-4b,2843,"Of the words ""mine"" and ""bridge"" which one has fewer letters?",Mine,1,1
en,less_letters_length_diff_3plus,Llama-3_1-8B-Instruct,1013,"Which word is shorter, ""out"" or ""history""?","in this case, ""out"" is shorter than ""history"".",1,1
en,sentence_containing,ZharfaOpen-0309,2721,"Write a sentence containing the word ""blood"":",Blood is the liquid that circulates through the body and contains essential nutrients and oxygen that are necessary for survival.,1,1
en,word_not_containing,gemma-3-1b,2,"Write a word that doesn't contain the letter ""b"":",Stone,1,1
en,more_letters,Qwen2_5-3B-Instruct,2744,"Of the words ""head"" and ""plate"" which one has more letters?","s
""Head"" has 4 letters, while ""plate"" has 5 letters. Therefore, ""plate"" has more letters.",1,1
en,all_words_from_category_1_distractors,salamandra-2b-instruct,1984,"Do the words ""lemon"", ""dog"", ""peach"", ""melon"", and ""pear"" all represent fruit? Answer either ""yes"" or ""no"".",ustamata,0,0
en,more_letters,salamandra-2b-instruct,887,"Which word has more letters, ""hospital"" or ""mosque""?",Hospital has more letters than mosque.,1,1
en,word_not_containing,SmolLM2-360M-Instruct,63,"Write a word not containing the letter ""k"":","The word not containing the letter ""k"" is ""sophisticated.""",0,1
en,word_after,gemma-3-4b,2205,"Which word comes right after ""the"" in the sentence ""People are looking through the window""?",The,0,0
en,least_associated_word,gemma-3-4b,1637,"What is the word least related to the word ""vehicles"" from the words ""van"", ""train"", ""tractor"", ""shorts"", and ""bus""?",Shorts.,1,1
en,smaller_number,ZharfaOpen-0309,2545,"From the numbers 433 and 56, write the smaller number:",The smaller number is 433.,0,0
en,sentence_containing,gemma-3-1b,1118,"Write a sentence using the word ""mountain"":",The hiker climbed a steep mountain.,1,1
en,word_not_containing,Llama-3_1-8B-Instruct,4,"Write a word that doesn't contain the letter ""d"":",Eagle.,1,1
en,ends_with_word,SmolLM2-1_7B-Instruct,1373,"Write a sentence whose last word is ""wives"":",The husband and his wives lived in a cozy house.,0,0
en,more_letters_length_diff_3plus,SmolLM2-360M-Instruct,2245,"Of the words ""toe"" and ""shower"" which one has more letters?",.,0,0
en,ends_with_letter,Llama-3_2-3B-Instruct,29,"Write a word whose last letter is ""f"":",Wolf,1,1
en,more_letters_length_diff_1,gemma-3-4b,336,"Which word has more letters, ""lunchtime"" or ""diploma""?",“Lunchtime” has more letters (9) than “diploma” (7).,0,1
en,sentence_not_containing,gemma-3-4b,2699,"Write a sentence not containing the word ""river"":",The stream flowed swiftly through the valley.,1,1
en,rhyming_word_orthographically_different,Llama-3_2-3B-Instruct,1140,"Which is a rhyme of the word ""plate"", ""note"" or ""wait""?","(plate) - date
 (note) - quote
 (wait) - slate",0,0
